m_prompt1,m_prompt2,m_prompt3,references
Add 0.18.6 version constant to Version class,Add version 0.18.6 to Version class.,Add version 0.18.6 to Version constants.,add 0.18.6
Refactor ExperimentalObjcLibrary to use ObjcCommon for various attributes,"Based on the provided code diffs, here are the suggested commit messages for each of the diffs:

1. Changes for `MapGenerators_old.java` and `ImmutableMapTest_old.java`:
```
Refactor ImmutableMap list generators and add comprehensive tests

- Refactor `ImmutableMapValueListGenerator` to extend from `TestStringListGenerator`.
- Replace `samples` and `create` methods with improved implementations.
- Add `ImmutableMapKeyListGenerator` and `ImmutableMapEntryListGenerator` classes.
- Add test suites for new list generators in `ImmutableMapTest`.
```

2. Changes for `SeleniumServer_old.java`:
```
Enhance capability filtering for Selenium server

- Add capability mutators to exclude grid-specific capabilities with 'se:' prefix.
- Filter out capabilities with null values before passing to the driver.
```

3. Changes for `ConfiguredRuleClassProvider_old.java` and `BazelRuleClassProvider_old.java`:
```
Rename RuleModule to RuleSet in ConfiguredRuleClassProvider

- Refactor BazelRuleClassProvider by changing RuleModule references to RuleSet.
- Update comments and documentation to reflect the RuleSet standard.
- Adjust BazelRuleClassProviderTest and related files accordingly.
```

4. Changes for `JavaCompilationHelper_old.java` and `JavaHeaderCompileActionBuilder_old.java`:
```
Update Java header compilation with implicit input attributes

- Extend the header compilation to automatically include javabase inputs and language tools jar.
- Ensure proper setup of Java header compile action with updated builder methods.
```

5. Changes for `ExperimentalObjcLibrary_old.java`:
```
Consolidate ObjcProvider configuration in ExperimentalObjcLibrary

- Include DEFINEs from ObjcProvider in the compilation process.
- Refactor the common method to integrate resource attributes and additional defines.
- Add provider to ruleConfiguredTarget to expose ObjcProvider to dependents.
- Include direct and transitive dependencies as well as runtime deps in ObjcCommon.
```

Please note that if you're using these commit messages in a version control system, you may need to adjust the wording to fit your project's commit message guidelines or to provide more context if necessary.","Refactor ExperimentalObjcLibrary to utilize common method for ObjcProvider construction and add missing providers

---
MOS_MIGRATED_REVID=516385647","Add defines to experimental_objc_library.

--
MOS_MIGRATED_REVID=130424806"
Remove deprecated 2.4.0 version constant.,"Remove deprecated version constant V_2_4_0.

This commit removes the V_2_4_0 version constant and associated code, as it appears to have been deprecated and is no longer required.",Remove 2.4.0 version constant.,"Revert ""Added version 2.4.0 to Version""

This reverts commit 8c4aa75b0cc839d4c1ef77d79828f02c38d70199."
Refactor method call to use getFullQualifiedSignature for PostgreProcedure.,"Changed method for obtaining full signature in PostgreCommandGrantPrivilege.

Now using getFullQualifiedSignature() method in PostgreCommandGrantPrivilege in order to retrieve the fully qualified signature of PostgreProcedure, replacing previously used getFullyQualifiedName(). This ensures consistency in handling fully qualified names for procedures.",Use getFullQualifiedSignature for PostgreProcedure object names in grant privilege.,#10501 procedure/function with arguments names changed
Ensure RangeQueryBuilderTest uses UTC dates for proper testing,"Here are the generated commit messages for the provided code diffs:

1. Commit message for the first diff:
```
Ensure non-null and non-empty hosts array in RestClient

- Added a check in the `setHosts` method to ensure that the 'hosts' array is neither null nor empty
- This validation check helps to prevent the `nextHost` method from being called when no hosts are available, thus removing redundant state checks later in the code flow
```

2. Commit message for the second diff:
```
Improve robustness of DateHistogramFacetProcessor with better error handling

- Changed the default 'rounding' value from ROUND_FLOOR to -1 to trigger exceptional cases
- Added explicit checks and error messages when the fieldParser is not found and when an invalid rounding value is encountered
- Made parsing of time intervals handle exceptions more gracefully, providing a clear error message when parsing fails
```

3. Commit message for the third diff:
```
Standardize content type for XDocsClientYamlTestSuiteIT

- Removed random content type randomization for documentation tests to ensure consistency
- Refactoring resulted in cleaner test setup where content type is predictable
```

4. Commit message for the fourth diff:
```
Refactor date time formatters in object mapping

- Renamed 'dateTimeFormatters' to 'dynamicDateTimeFormatters' for clarity in RootObjectMapper
- Updated the corresponding XContentBuilder to output 'dynamic_date_formats' instead of 'date_formats' while retaining backward compatibility with the old key
- Clarified code comments and improved naming consistency within the mapping logic
```

5. Commit message for the fifth diff:
```
Fix RangeQueryBuilderTest timezone handling for date fields

- Adjusted the test setup to explicitly set the DateTimeZone to UTC when creating date strings
- This ensures the test remains accurate across different timezones and daylight saving time changes
```

Please verify each message carefully to ensure it matches the changes made and conveys the intention of the code diffs correctly.",Ensure RangeQueryBuilderTest uses UTC for date range queries,Tests: Using UTC time zone in RangeQueryBuilderTest to make forbidden apis checker happy
Use Boolean.parseBoolean for system property checks,Use Boolean.parseBoolean for system property checks,Use parseBoolean for system property checks,Fix boxing warning
Add option to show full path in launcher log output,"Here are the commit messages for each of the provided code diffs:

1. For `DefaultHomeFinder_new.java` and `GraalVMLocator_new.java` changes:
```
Optimize environment variable parsing for verbosity settings

- Switch from Boolean.valueOf to Boolean.parseBoolean for efficiency and to prevent unnecessary boxing of boolean values in DefaultHomeFinder and GraalVMLocator classes.
```

2. For `MatrixConfiguration_new.java` changes:
```
Prevent NullPointerException in MatrixConfiguration#getWorkspace

- Add null check for the workspace to prevent a NullPointerException when the workspace is not available.
```

3. For `HashedWheelTimer_new.java` changes:
```
Cache OS check for Windows in HashedWheelTimer

- Refactor the isWindows method to use a static final boolean to avoid repetitive checks against the system property ""os.name"".
```

4. For `ToolsMenuHandler_new.java` changes:
```
Refactor ToolsMenuHandler to reuse MenuManager instance

- Move MenuManager instantiation to class level and ensure it is properly disposed of before being recreated to manage tool menus effectively.
```

5. For `Launcher_new.java` changes:
```
Introduce option to display full path in Launcher execution

- Add a boolean flag `showFullPath` to provide an option for displaying the full path instead of just the last directory name in the Launcher's execution context description.
```

For each commit, it is important to clearly summarize why the change was made (e.g., optimization, bug fix) and what specific part of the code was affected. Including these details helps other developers understand the context and purpose of the changes.",Add option to display full path in Launcher's workDir output,"added a debug option to show the full path of the current directory.


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@1606 71c3de6d-444a-0410-be80-ed276b4c234a"
Improved dictionary values search logic in JDBCTable and fixed null passing in GenericFilterValueEdit,"Fixed pattern-based dictionary loading in custom JDBC filter editor

This commit addresses issues with pattern-based value loading in the custom filter editor for JDBC tables. It refactors the loading of dictionary values, ensuring that the patterns apply correctly to both string and numeric columns while avoiding unnecessary wildcards for numeric patterns. The changes include:

- Refactoring getDictionaryValues method to handle pattern matching more effectively, particularly for numeric data types.
- Reducing redundancy in the code by consolidating the condition checks for string patterns.
- Adjusting the keyPattern handling to prevent wildcard addition when the pattern is meant for numeric column filtering.
- Adding a new parameter `mergeResultsWithData` to the `loadMultiValueList` method to control the merging of enumeration values with the fetched result set data, providing flexibility based on whether a filter pattern is provided.

The `loadMultiValueList` method now accepts a second boolean parameter that decides if the fetched list should be merged with the data from the result set, which allows for more accurate and efficient filtering based on the input pattern and column data type.",Refactor and fix dictionary value loading in JDBCTable,#6367 Columns filter fix (search by numbers and strings)
"Refactor MockHttpServletRequest to handle null values more cleanly

Remove redundant null checks when setting URI and method in `MockHttpServletRequest`, using direct assignment instead. Ensure `getRequestURL` correctly appends request URI only if it is not empty.","Here are the commit messages for the provided code diffs:

1. **Commit message for the `TomcatReactiveWebServerFactory` and its tests:**

```
Implement additional Tomcat connectors support in reactive web server factory

- Add a collection to store extra Tomcat connectors in `TomcatReactiveWebServerFactory`
- Apply the collected connectors to the server upon creation of a web server instance
- Include tests to assert functionality and non-null constraint of additional connectors

Issue: gh-17323
```

2. **Commit message for the `StandardWebSocketSession` and its tests:**

```
Preserve WebSocket session fields post-closure for retrieval

- Store acceptedProtocol directly within `StandardWebSocketSession` to allow access after session ends
- Adjust `initializeNativeSession` to set user and acceptedProtocol fields of `StandardWebSocketSession`
- Add tests to verify the availability of session fields after WebSocket session closes

Issue: SPR-11621
```

3. **Commit message for the `Handler` and `Payload`:**

```
Add handling for direction and tag fields in logview within Handler

- Include the direction and tag from `Payload` to the properties parsed by `Handler` for logview processing
- Ensure these additional properties are considered when building a logview request
```

4. **Commit message for the `UndertowServerHttpRequest` changes:**

```
Introduce ref counting to manage UndertowDataBuffer life cycle

- Add AtomicInteger refCount to `UndertowDataBuffer` class
- Adjust release and retain methods to handle reference counting correctly
- Ensure all write and slice operation return updated `UndertowDataBuffer` to maintain reference count integrity
```

5. **Commit message for the `MockHttpServletRequest` improvements:**

```
Normalize request method and URI handling in MockHttpServletRequest

- Allow null values for method and requestURI in constructor and setters
- Adjust getRequestURL to account for potential null requestURI
- Add a test case for getRequestURL with a null requestURI to validate behavior

```

Please make sure to verify and test changes thoroughly before using these commit messages. Each message should accurately reflect the changes it accompanies and follow the repository's commit message conventions (if applicable).","Handle null values in MockHttpServletRequest set methods and getRequestURL

This commit ensures consistency in `MockHttpServletRequest` by correctly handling null values for `method` and `requestURI` in `setMethod` and `setRequestURI` methods. It also modifies `getRequestURL()` to avoid appending null `requestURI`.","Exclude null requestURI in MHSR.getRequestURL()

This commit undoes the changes made in ec5d81e78e and ensures that the
getRequestURL() method in MockHttpServletRequest does not include the
String ""null"" for a null requestURI by first checking if the requestURI
contains text before including it in the composed URL.

Issue: SPR-10643"
"1. Update copyright year and suppress warnings in HibernateTransactionManagerTests
```
Update copyright year and suppress rawtypes, unchecked, and deprecation warnings in HibernateTransactionManagerTests
```

2. Refactor ServerTransportFilterIntegrationTests to ensure correct cluster size
```
[TEST] Replace assertGreenClusterState with ensureStableCluster to wait for expected cluster size
```

3. Apply StandardJarScanFilter to Tomcat 8 in SkipPatternJarScanner
```
Set SkipPattern to Tomcat 8's StandardJarScanFilter in SkipPatternJarScanner for tld skipping
```

4. Refactor StringAsInterfaceNFITest to not use deprecated JavaInterop
```
Refactor StringAsInterfaceNFITest to use Context's asValue instead of deprecated JavaInterop
```

5. Expose HubGetClassNode constructor and organize imports in HotSpotGraphBuilderPluginsProvider
```
Expose HubGetClassNode constructor to public and restructure import statements in HotSpotGraphBuilderPluginsProvider
```","```
Refactor HotSpotGraphBuilderPluginsProvider and HubGetClassNode for better usage of MetaAccess

- Modify HotSpotGraphBuilderPluginsProvider to use builder.getMetaAccess() instead of directly passing metaAccess for consistency.
- Expose HubGetClassNode's constructor as public to align with project standards.

Related Issues: oracle/graal#1689
```",Refactor HotSpotGraphBuilderPluginsProvider and update HubGetClassNode constructor visibility,added graph builder plugin for StableOptionValue.getValue()
Fixed generic type in getPrefixes method to ensure type safety,"Based on the code diffs provided, here are the commit messages that describe the changes made in each of them:

1. Commit message for MavenTestDataPublisher.java changes:
```
Ensure loop continuation when a SurefireReport is not found in MavenTestDataPublisher

In the event that a SurefireReport is not present for a module within
a Maven build, the code now correctly continues to the next iteration
of the loop rather than prematurely returning from the method.

This ensures that all modules are processed correctly, even if some do not
have a SurefireReport.
```

2. Commit message for AbstractItem.java changes:
```
Make getConfigFile method public to support Jelly script usage

The visibility of getConfigFile in AbstractItem has been changed from
protected to public. This allows the method to be accessed from Jelly scripts,
expanding the extensibility of this functionality to script authors.

SVN Revision: 3907
```

3. Commit message for RedisRunner.java changes:
```
Update RedisRunner.dir to return default directory when using random directory

This update modifies RedisRunner's dir method to return a default directory
if the random directory option is enabled. Previously, it would only return
a specific path regardless of the random directory setting.
```

4. Commit message for AbstractConfig.java changes:
```
Improve logging of unused configurations to exclude values

Sensitive information will no longer be logged when an unknown configuration
is detected. The log message now only includes the configuration name without
displaying its associated value.

This addresses the concern raised in KAFKA-4056 and applies this security
enhancement to all unused configuration logging.

Author: Mickael Maison <mickael.maison@gmail.com>
Reviewers: Jaikiran, Gwen Shapira, Grant Henke, Ryan Pridgeon, Dustin Cote
PR: #1759
```

5. Commit message for FileExtension.java changes:
```
Refine return type of FileExtension.getPrefixes method to Iterator<String>

The getPrefixes method in the FileExtension class has been updated
to return an Iterator<String> instead of a raw Iterator. This change
adds type safety and clarity to the API, ensuring that users of
getPrefixes have a clear understanding of the type of elements returned
by the iterator.
```

These commit messages are structured to provide a clear understanding of the changes, the reasoning behind them (where applicable), and any additional context such as ticket numbers or reviewers involved in the changes.",Updated `getPrefixes` method to return `Iterator<String>` for type safety,Allow compilation with the java 10 javac
Refactor assertEqual logic using assertCollectionEqualValues in ValueAssert,"For the given code diffs, here are appropriate commit messages that describe the changes made:

1. For the QueryRow changes:
```
Refactor isEqual method to use a single return statement
```

2. For the LLVMGenerator changes:
```
Enhance emitArrayIndexOf with additional parameters and logic
```

3. For the Target_java_lang_System changes:
```
Add early return for zero-length array copy in System.arraycopy
```

4. For the MediaSendViewModel changes:
```
Ensure bucketId is set correctly to prevent crash on large media selection
```

5. For the ValueAssert changes:
```
Replace direct assertEquals with assertCollectionEqualValues for object map comparisons
```

Each commit message succinctly summarizes the effect of the code changes, following the typical conventions for commit message writing.",Refactor assertEquals on Map values to use assertCollectionEqualValues,Also use value comparison for maps.
"Respect serializeNulls setting in JsonElementWriter

Adds tests for handling null values based on the serializeNulls setting
in JsonElementWriter. When serializeNulls is false, fields with null
values are not included in the JsonObject. Adds corresponding unit tests
to verify expected behavior.

Fixes: Issue with JsonElementWriter not respecting the serializeNulls field when serializing null values.","Ensure JsonElementWriter adheres to serializeNulls setting

This commit enhances JsonElementWriter to respect the serializeNulls setting. When serializeNulls is set to false, null values are no longer serialized within the JSON object. This behavior aligns with the intended configuration option and prevents unintended null entries. The change includes updates to the `put` method to check for the serializeNulls flag and conditionally add JSON elements accordingly.

In addition to the functional modification, new test cases have been added to JsonElementWriterTest to verify the correct behavior when serializeNulls is either true or false.

Here's a breakdown of the commits based on the code diff:

1. ""Remove console output statements from FirefoxDriver and related classes""
   - Commit message: Remove debug output in FirefoxDriver and MarionetteConnection

2. ""Fix FileStreamChannel to handle empty files correctly""
   - Commit message: Fix FileStreamChannel for zero-length writes

3. ""Optimize JsonReader to avoid unnecessary peeking during skipValue""
   - Commit message: Improve skipValue efficiency in JsonReader

4. ""Correct file path for test output in StandaloneTestStrategy""
   - Commit message: Fix incorrect error path for test outputs in StandaloneTestStrategy

5. ""Update JsonElementWriter to handle serializeNulls configuration""
   - Commit message: Honor serializeNulls setting in JsonElementWriter

For each of these changes, the commit messages accurately describe the essence of the update, and they explain the reason behind each modification, leading to better understanding and traceability of the code history.",Honor serializeNulls setting in JsonElementWriter when adding null properties,Don't serialize nulls in JsonElementWriter if setSerializeNulls(false)
"Add tests for dynamic size adjustments in LruBitmapPool

Implement setSizeMultiplier in BitmapPool and its subclasses

Refactor JavaConfiguration and YamlConfiguration examples to include datasource closing logic

Optimize ProtoTypeAdapter by using getDefaultInstance for field type retrieval

Increase sleepWindow in HystrixCircuitBreakerTest to 100ms for stability

Add third UDPBroadcastThread and ensure proper setup and teardown in UDPBroadcastThreadTest","Here are the generated commit messages based on each of the code diffs provided:

1. Commit message for the change in `LruBitmapPoolTest`, `BitmapPool`, `BitmapPoolAdapter`, and `LruBitmapPool`:
```
Implement dynamic size adjustment for LruBitmapPool with tests

- Add test cases to `LruBitmapPoolTest` for verifying dynamic size adjustments: increase, decrease, and reset size multiplier
- Introduce `setSizeMultiplier` method in the `BitmapPool` interface
- Implement `setSizeMultiplier` method as a no-op in `BitmapPoolAdapter`
- Modify `LruBitmapPool` to support changing `maxSize` using the size multiplier and evicting excess bitmaps accordingly
```

2. Commit message for the change in `JavaConfigurationExample` and `YamlConfigurationExample`:
```
Refactor configuration examples to include dataSource closure

- Move `closeDataSource` method call directly after `cleanEnvironment` in both `JavaConfigurationExample` and `YamlConfigurationExample`
- Rearrange methods and clean up code structure for readability
```

3. Commit message for the change in `ProtoTypeAdapter`:
```
Optimize ProtoTypeAdapter by using Message's default instance for field inherits (#1215)

- Cache `Message.getDefaultInstance` instead of building new proto instances during deserialization
- Remove unnecessary `protoBuilder.build()` call in order to prevent repetitive object creation
```

4. Commit message for the change in `HystrixCircuitBreakerTest`:
```
Modify sleep timings to stabilize HystrixCircuitBreakerTest

- Update sleep window in `testCircuitClosedAfterSuccess` from 20 to 100 to reduce flakiness
- Introduce an additional sleep to ensure the circuit is reopened before assertions
```

5. Commit message for the changes in `UDPBroadcastThreadTest`:
```
Enhance UDPBroadcastThreadTest to handle multiple threads and improve cleanup

- Replace usage of `hudson` with `jenkins` in `UDPBroadcastThreadTest`
- Add a third instance of `UDPBroadcastThread` to the test to verify reception of multiple replies
- Ensure that all created threads (`second` and `third`) are interrupted during cleanup
```

These commit messages aim to summarize the changes made and the reasons behind them, making them descriptive enough for other developers to understand the context and purpose of the commits.",Add third UDPBroadcastThread for multicast testing in UDPBroadcastThreadTest,"Maybe this test is flaky because it doesn't wait for
jenkins.udpBroadcastThread to become ready?"
