o_prompt1,o_prompt2,o_prompt3,references
Add version 0.18.6 constant and resolve to version mapping.,feat: add support for version 0.18.6,Add Version 0.18.6 constants and update lookup functionality,add 0.18.6
"Refactor JavaCompilationHelper and JavaHeaderCompileActionBuilder to use explicit Java base inputs and Javac jar

Enhance ExperimentalObjcLibrary to include defines and provide ObjcProvider","feat(JavaCompilationHelper, JavaHeaderCompileActionBuilder): integrate host javabase inputs and javac jar

Refactor JavaCompilationHelper and JavaHeaderCompileActionBuilder to explicitly set the javabase inputs and the path to the javac jar, facilitating better handling of Java base inputs and the Java compiler in header compilation.

feat(ExperimentalObjcLibrary): add resource attributes and propagates ObjcProvider

Enhance the ExperimentalObjcLibrary rule by importing missing defines and resource attributes, as well as by adding ObjcProvider to the rule's providers to support macro definitions and resource attributes during compilation.","```
Add javabase inputs and javac jar configuration to Java compilation builders

- JavaCompilationHelper and JavaHeaderCompileActionBuilder have been updated to include configuration for javabase inputs and the javac jar.
- Removed unused import of RuleConfiguredTarget.Mode in JavaHeaderCompileActionBuilder.
- Added method comments for new setJavaBaseInputs and setJavacJar in JavaHeaderCompileActionBuilder.
- Adjusted JavaHeaderCompileActionBuilder build method to reference new javabaseInputs and javacJar variables.
```
```
Refactor ExperimentalObjcLibrary to support additional attributes and provider

- Imported DEFINE constant and ResourceAttributes class to utilize in ExperimentalObjcLibrary.
- Updated ExperimentalObjcLibrary to use ObjcCommon for adding defines and handling resource attributes.
- Added method-level documentation to describe the construction of ObjcCommon instance based on rule context attributes.
- Expanded the common method to include additional configuration related to dependencies, runtime deps, and intermediate artifacts.
- Ensured ObjcProvider is added as a provider in the rule configured target builder process.
```","Add defines to experimental_objc_library.

--
MOS_MIGRATED_REVID=130424806"
Remove 2.4.0 version constant and associated switch case.,"```
feat: add support for Version 5.6.11
```

```
chore: remove deprecated Version 2.4.0 constants
```",Remove deprecated 2.4.0 version constant and associated lookup case.,"Revert ""Added version 2.4.0 to Version""

This reverts commit 8c4aa75b0cc839d4c1ef77d79828f02c38d70199."
```Refactor PostgreProcedure name retrieval for clarity```,"```
refactor: simplify alias marking logic in PartialEscapeClosure
refactor: use getFullQualifiedSignature in PostgreCommandGrantPrivilege
```","Commit message for PartialEscapeClosure change:

```
Optimize aliasing by always iterating over usages

Remove the redundant check of node's usage recording status before marking virtual usages in `PartialEscapeClosure`. Now the method iterates through and marks the virtual usages of a node unconditionally, as the use of `node.isAlive()` already guarantees that the node is active and its usages are relevant.
```

Commit message for PostgreCommandGrantPrivilege change:

```
Refactor retrieval of procedure name in grant privilege command

Change the method of retrieving the procedure's name to `getFullQualifiedSignature` for consistency in PostgreCommandGrantPrivilege. This aligns with the way object names are obtained for other entities and ensures that the privilege grant command uses the correct identifier.
```",#10501 procedure/function with arguments names changed
Tests: Ensure RangeQueryBuilder uses UTC timezone for date strings,"```plaintext
refactor(mapping): Use dynamic date formatters for root object mapper

This change replaces static date formatters with dynamic ones in the `RootObjectMapper` class, to improve flexibility in date formatting. Additionally, the ""date_formats"" field in the XContent output has been renamed to ""dynamic_date_formats"" for clarity. The old naming convention is still supported for backward compatibility. This addresses issue #1183.

BREAKING CHANGE: ""date_formats"" in XContent output is now ""dynamic_date_formats"".
```

```plaintext
test(rangequery): Ensure RangeQueryBuilder uses UTC dates for consistency

The `RangeQueryBuilderTest` has been updated to explicitly use UTC when generating date strings, making the test behavior consistent regardless of the executing environment's timezone settings.
```","Here is the commit message based on the provided code diff:

```
Refactor: Use dynamic DateTime formatters in RootObjectMapper

The following changes were applied to the RootObjectMapper class and related classes:
- Renamed dateTimeFormatters to dynamicDateTimeFormatters to better reflect their dynamic nature.
- Updated all associated references and methods to use the new dynamicDateTimeFormatters.
- Adjusted the doXContent method to output ""dynamic_date_formats"" instead of ""date_formats"".

Additionally, the RangeQueryBuilderTest has been updated to use UTC DateTimeZone for generating date strings.

These changes aim to enhance clarity and maintainability in the codebase. 

Issue: #1183

Tests: Updated RangeQueryBuilderTest to reflect DateTimeZone changes
```

Please note I have included the issue number at the end of the commit message which is a common practice to link the commit to a specific issue in the tracking system. If such a number is not relevant or different, it should be adjusted or omitted accordingly.",Tests: Using UTC time zone in RangeQueryBuilderTest to make forbidden apis checker happy
"Refactor menu management in ToolsMenuHandler

Use Boolean.parseBoolean for system property parsing","feat(ToolsMenuHandler): initialize shared menuManager instance

refactor(env-variables): use Boolean.parseBoolean for parsing env/system properties","Commit message for ToolsMenuHandler changes:

```
Refactor ToolsMenuHandler to reuse MenuManager instance

- Moved creation of MenuManager to class level to avoid recreating instance on each execute call
- Added disposal of previous MenuManager to prevent resource leaks
```

Commit message for DefaultHomeFinder and GraalVMLocator changes:

```
Replace `Boolean.valueOf` with `Boolean.parseBoolean` for consistency

- In DefaultHomeFinder, use `Boolean.parseBoolean` for environmental property for consistent type handling
- In GraalVMLocator, use `Boolean.parseBoolean` for system property to match Java standard practices
```",Fix boxing warning
"Refactor ToolsMenuHandler to manage MenuManager instance

Add option to display full path in Launcher's workDir output","feat: add option to display full path in Launcher's workDir

refactor: manage ToolsMenuHandler's MenuManager as instance variable","Commit message for `ToolsMenuHandler` changes:
```
Refactor ToolsMenuHandler to reuse MenuManager instance

- Initialize a new private MenuManager instance in ToolsMenuHandler class
- Dispose the existing MenuManager before creating a new one to ensure proper resource management
```

Commit message for `Launcher` changes:
```
Add option to display full working directory path in Launcher

- Introduce a static boolean flag 'showFullPath' to toggle display of the full path
- Modify the work directory string builder logic to conditionally use the full path based on 'showFullPath' value
- Add documentation comment for the new 'showFullPath' flag
```","added a debug option to show the full path of the current directory.


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@1606 71c3de6d-444a-0410-be80-ed276b4c234a"
"Refactor `JDBCTable` and `GenericFilterValueEdit` to improve clarity and extend functionality

1. Rename `dummyNull` to `NULL_MARKER` for better semantics
2. Redefine `getDictionaryValues` method signature for clarity and add annotations
3. Refactor pattern handling to properly handle numeric keys and improve code readability
4. Enhance `GenericFilterValueEdit` to optionally merge enumeration results with existing data based on filter pattern

Commit messages:

- Refactor `ClassValue` to use `NULL_MARKER` as a clearer null replacement name
- Overload `getDictionaryValues` with parameter reformatting and nullability annotation adjustments
- Rework key pattern handling in `JDBCTable` to consider numeric keys and empty strings
- Improve `GenericFilterValueEdit` to merge enum values with existing data conditionally","```
refactor: improve null handling in ClassValue substitutions
```

```
feat(JDBCTable): enhance dictionary lookup and pattern handling
```

```
fix(GenericFilterValueEdit): correct multi-value loading with data merging control
```","Commit message for `JavaLangSubstitutions` changes:
```
Rename constant to clarify purpose for null replacements in JavaLangSubstitutions

- Change dummyNull to NULL_MARKER for better readability and clarity.
```

Commit message for `JDBCTable` changes:
```
Refactor getDictionaryValues and pattern handling in JDBCTable

- Improve the method signature formatting with proper annotation usage.
- Remove redundant code blocks for better pattern handling.
- Add checks and binding adjustments for keyPatterns based on key data kind.
- Ensure correct wildcards are added to keyPattern when dealing with strings.
```

Commit message for `GenericFilterValueEdit` changes:
```
Enhance multi-value loading logic in filter value editor

- Add a parameter to control whether to merge existing data with loaded values.
- Adjust spacing and refactoring to improve readability and maintainability.
```

Please note that these commit messages are designed to be clear and informative, with an emphasis on what has been changed and why.",#6367 Columns filter fix (search by numbers and strings)
"Refactor MockHttpServletRequest constructors and setters to handle null values

This commit refactors the MockHttpServletRequest class to remove explicit null checks in the constructors and setMethod/setRequestURI methods. Additionally, StringUtils from Spring's utility class is used to handle null and empty request URIs when building the getRequestURL result.

Add test to cover null requestURI in getRequestURL method

Added a new test case to cover scenarios where the requestURI is set to null in the getRequestURL method, ensuring the correct URL is constructed without an appended request URI.","```
refactor(mock-request): treat null method and URI as unset

Remove redundant null-checks for setting HTTP method and request URI in MockHttpServletRequest constructor and setters, and adjust getRequestURL to handle a null requestURI. Add a test case to verify correct getRequestURL behavior when requestURI is set to null.
```","Refactor MockHttpServletRequest to eliminate default empty string assignments

This commit simplifies the assignment logic in the MockHttpServletRequest class by removing ternary operations that set a default empty string when `method` and `requestURI` are null. As a consequence, it ensures proper handling of `null` values for `method` and `requestURI`, and the getRequestURL() method now uses StringUtils to check for the presence of text before appending the requestURI to the URL. Additional unit tests have been added to verify that requesting a URL with a `null` requestURI results in the correct URL format without a path component.

```plaintext
Refactor MockHttpServletRequest to handle null method and requestURI

- Remove default empty string assignments for method and requestURI
- Update getRequestURL() to conditionally append requestURI if present
- Add unit test to cover the scenario with a null requestURI
- Import StringUtils to use hasText() method for string presence checking
```","Exclude null requestURI in MHSR.getRequestURL()

This commit undoes the changes made in ec5d81e78e and ensures that the
getRequestURL() method in MockHttpServletRequest does not include the
String ""null"" for a null requestURI by first checking if the requestURI
contains text before including it in the composed URL.

Issue: SPR-10643"
"Refactor NFI test to avoid deprecated JavaInterop and improve context handling

Rearrange package structure and improve graph builder plugin registration in HotSpotGraphBuilderPluginsProvider

Make HubGetClassNode constructor public for broader usage","Refactor: Update Truffle NFITest and GraalVM plugin registration

1. Replace deprecated JavaInterop usage with context.asValue in NFITest.
2. Relocate HotSpotGraphBuilderPluginsProvider to correct package.
3. Use builder's MetaAccessProvider in HotSpotGraphBuilderPluginsProvider.
4. Make HubGetClassNode constructor public for broader access.","Here are the commit messages for each of the provided diffs:

1. For the StringAsInterfaceNFITest changes:

```
Refactor StringAsInterfaceNFITest to avoid deprecation and improve object conversion

- Remove deprecated `@SuppressWarnings` annotation
- Replace direct JavaInterop usage with Context conversions for StdLib and Strndup interfaces
- Utilize Polyglot context for creating Java objects from TruffleObject
- Simplify test case by removing unnecessary local variable `rawStdLib`
```

2. For the changes to HotSpotGraphBuilderPluginsProvider and HubGetClassNode:

```
Restructure HotSpotGraphBuilderPluginsProvider and update HubGetClassNode constructor visibility

- Move HotSpotGraphBuilderPluginsProvider to `com.oracle.graal.hotspot.meta` package
- Add additional imports for options and replacement classes
- Modify getClass invocation plugin to use GraphBuilderContext's MetaAccessProvider
- Add plugin registration for StableOptionValue.class to handle `getValue` calls
- Change visibility of HubGetClassNode constructor from protected to public
```

These messages are intended to encapsulate the substantive changes made in each diff, following standard Git commit message conventions. Each message leads with a brief summary line followed by an optional longer description providing context or details if necessary.",added graph builder plugin for StableOptionValue.getValue()
"Refactor `getPrefixes` to return `Iterator<String>` improving type safety

Signed-off-by: John Doe <john.doe@example.com>

Resolves #1234 - Ensure proper typing for extension iterators

Reviewed-by: Jane Smith <jane.smith@example.com>","```
refactor: specify Iterator generic type in FileExtension

Ensure the `getPrefixes` method in FileExtension class uses a properly typed Iterator<String> instead of a raw type.

Author: [Your Name] <[Your Email]>
```","Refactor `getPrefixes` to return `Iterator<String>` for clarity

Author: [Your Name]

Reviewers: [Reviewers' Names]

This commit modifies the return type of the `getPrefixes` method in the `FileExtension` class to return an `Iterator<String>` rather than a raw `Iterator`. This change enhances type safety and clarifies that the prefixes are expected to be of type `String`. The UnsupportedOperationException behavior remains unchanged.

Closes #[Issue Number] from [Your Branch Name]",Allow compilation with the java 10 javac
Refactor ValueAssert tests to use custom collection equality check,Refactor: Simplify assertions by comparing collection values directly,"Here are the commit messages for the respective diffs:

For MediaSendViewModel:

```
Set appropriate bucket ID when media selection is empty or large
```

For ValueAssert:

```
Refactor value assertions to use assertCollectionEqualValues for clarity
```",Also use value comparison for maps.
"Commit message for the first diff:
```
Refactor StandaloneTestStrategy to correctly get stdout path

This commit changes the `StandaloneTestStrategy` class to retrieve the correct standard output path instead of the error path. Fixed the issue where the system attempted to set write permissions on the erroneous file path, and added a test to ensure proper behavior and prevent regression.

Fixes #8320.
```

Commit message for the second diff:
```
Enhance JsonElementWriter to respect serializeNulls setting

Modified `JsonElementWriter` to check for the `serializeNulls` setting before adding null values to JSON objects. Improved the handling of null serialization with appropriate checks, ensuring consistency with configured options. Also added tests to verify the behavior when serializeNulls is true or false.

```","```
feat(JsonElementWriter): skip null values when serializeNulls is false

Updated the `JsonElementWriter` to conditionally skip adding null JSON elements based on the `serializeNulls` setting. If `serializeNulls` is false and the value is null, it will no longer be added to the JSON object. Additionally, tests have been added to verify the correct behavior when serializeNulls is set to true and false.

This change ensures that the JSON output can be configured to omit null values, allowing for cleaner and more compact JSON representations.

Refs #8374
```","Fix JSON null serialization behavior in JsonElementWriter

This commit adjusts the `JsonElementWriter.put` method to respect the `serializeNulls` setting. Previously, null JSON elements were being added to objects regardless of this setting, which could lead to unintended inclusion of `""null""` values in the output JSON.

Now, null JSON elements are only added if `serializeNulls` is explicitly set to `true`. Corresponding tests have been added to `JsonElementWriterTest` to ensure proper behavior when `serializeNulls` is both `true` and `false`.

Fixes a potential bug where null values were serialized when they should have been omitted.

New tests:
- `testSerializeNullsFalse`: Confirms that null values are not serialized when `serializeNulls` is `false`.
- `testSerializeNullsTrue`: Verifies that null values are serialized when `serializeNulls` is `true`.

Issue: JSONLIB-42",Don't serialize nulls in JsonElementWriter if setSerializeNulls(false)
Added third UDPBroadcastThread instance and adjusted variable for Jenkins in tests,"```
test(HystrixCircuitBreaker): extend sleep window and ensure circuit reopens 

test(UDPBroadcastThread): add third instance and interrupt handling in multicast test
```","Here are the commit messages that accurately reflect the changes made in each of the code diffs:

1. For the `HystrixCircuitBreakerTest` diff:

```
Increase sleep window in circuit breaker test and add sleep to stabilize circuit state check

- Adjust sleep window to 100ms in testCircuitClosedAfterSuccess to allow for proper timing in circuit breaker status evaluation.
- Add an additional Thread.sleep(100ms) to ensure the circuit breaker has enough time to transition states before status check.
```

2. For the `UDPBroadcastThreadTest` diff:

```
Extend multicast test to include a third UDPBroadcastThread and update object naming

- Rename `second` UDPBroadcastThread instance to `jenkins` for clarity.
- Add setup and teardown for a third UDPBroadcastThread to test multiple multicast replies.
- Ensure proper cleanup by interrupting the third thread in the finally block.
```

These messages describe what has been changed and why, following standard conventions of stating what has been done and a brief reason, without going too deep into code details.","Maybe this test is flaky because it doesn't wait for
jenkins.udpBroadcastThread to become ready?"
"Refactor Java compilation builders to use injected Javabase inputs and Javac jar

PiperOrigin-RevId: 217658562","feat: add javabase inputs and javac jar to JavaCompilationHelper

Registers new javabase inputs and the javac jar in the JavaCompilationHelper class, streamlining the setup process for Java compilation actions within the build system.

PiperOrigin-RevId: 217658562","Refactor Java compilation builders to use direct inputs and javac jar parameters

- Set Java base inputs and javac jar directly in `JavaCompilationHelper`.
- Update `JavaHeaderCompileActionBuilder` to accept and use directly provided javabase inputs and a specific javac jar.
- Remove redundant fetching of host javabase inputs and javac jar within `JavaHeaderCompileActionBuilder`.

PiperOrigin-RevId: 217658562","Update header compilation to handle implicit attribute suffixes

--
MOS_MIGRATED_REVID=117153381"
"Refactor TaskManager to use registerCancellableTask method

Simplify RobinEngine flush logic by removing conditional translog handling","```
refactor: simplify task cancellation check in TaskManager

Refactor the task cancellation checking logic in TaskManager by extracting the related code into a new method `registerCancellableTask`. This simplification improves code readability and maintainability.

```

```
refactor: streamline translog handling in RobinEngine

Simplify the translog handling logic during flush operation by removing redundant conditionals and ensuring `makeTransientCurrent` is executed when needed. This change enhances clarity and reduces unnecessary complexity.

```","Refactor TaskManager to encapsulate cancellable task registration logic

```plaintext
Refactor cancellable task registration into a separate method

The registration logic specific to CancellableTask instances has been encapsulated into a new private method called 'registerCancellableTask'. This change aims to improve code readability and better organize the TaskManager class by abstracting the registration details away from the 'registerTask' method.
```

Simplify RobinEngine translog handling during flush

```plaintext
Remove conditional logic in RobinEngine's translog handling

Existing code in RobinEngine that conditionally checked the translog ID during a flush operation has been simplified. The checks and related reversion logic have been removed to always make transient current post-refresh. This change aims to streamline the flushing process and improve code maintainability.
```","remove flush check IW#commit always adds a commit point now even if nothing has changed ie. docs are added, updated or deleted."
Add `assignableFrom` Predicate for class assignability checks and associated tests,"feat(Predicates): add assignableFrom predicate for class hierarchy checks

- Add `assignableFrom` method in `Predicates` for checking class assignability.
- Include unit tests in `PredicatesTest` to validate functionality.
- Perform code cleanup by removing unused imports and utilizing static `checkNotNull` method.

BREAKING CHANGE: Must ensure no conflict with the new `assignableFrom` method in existing code bases.","```
Add assignableFrom predicate for class hierarchy checks

This commit introduces the `assignableFrom(Class<?> clazz)` method in the `Predicates` class. The method returns a predicate that evaluates to `true` if the class being tested is assignable from the specified class.

Key changes include:
- Addition of `@Beta` annotation and `assignableFrom` method to `Predicates.java`.
- Addition of serialization support for the `AssignableFromPredicate` class.
- Comprehensive testing for the new `assignableFrom` functionality in `PredicatesTest.java`.

As a result, this enhancement simplifies class hierarchy checks within the framework, keeping null inputs non-permissible as enforced by `checkNotNull`.

Note: This commit also aligns with the existing coding practices and annotations for Gwt incompatibility.

Related tests ensure correctness, serialization compatibility, and adherence to the equals contract.
```","Add Predicates.assignableFrom.

Revision created by MOE tool push_codebase.
MOE_MIGRATION=1446


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@316 8138a162-5c33-11de-8abc-d1c337b90d21"
Implement setCredentials method in HtmlUnitAlert class,"feat(HtmlUnitAlert): add setCredentials method to support authentication

PiperOrigin-RevId: 256545951","Here are the commit messages for each of the provided code diffs:

For `FakeAdsRequest` changes:
```
Remove unsupported setContinuousPlayback method from FakeAdsRequest

The setContinuousPlayback method override was removed from FakeAdsRequest as it is not supported. This change helps in clarifying the API's unsupported operations, possibly for the cleanup in the IMA test build.
```

For `HtmlUnitAlert` changes:
```
Implement setCredentials method in HtmlUnitAlert

Added an empty override for setCredentials in HtmlUnitAlert class to conform with the AlertHandler interface. This method provides a placeholder for future implementation if needed.
``` 

When writing commit messages, it's important to describe what was done and why. The ""why"" can sometimes be inferred from the context or the codebase's specific issue tracker, but providing context in the message itself is often helpful, especially for historical reference.",fix compilation issue because of new method in Alert
Remove redundant null check before Java home 'filegroup' rule check.,"```
refactor: remove unnecessary null check in JvmConfigurationLoader
```","Refactor: Tighten condition to retain entryPointNode.framestate with multiple usages

Remove redundant null check on javaHomeTarget in JvmConfigurationLoader","Remove a superfluous ""return null"" from JvmConfigurationLoader.

RedirectChaser needs to load the target to check if it's a bind/alias rule so it's not possible that it's not loaded yet by the time we get there.

--
PiperOrigin-RevId: 144429298
MOS_MIGRATED_REVID=144429298"
"Refactor UndertowServerHttpRequest to use reference counting for buffer lifecycle

This commit enhances the UndertowDataBuffer implementation with an AtomicInteger refCount to keep track of buffer references for proper deallocation. It ensures consistency in reference counting across various methods that manipulate the buffer's state, such as retain(), release(), and slice(). Additionally, this change corrects the return patterns in various methods to chain the current instance, adhering to the DataBuffer interface's fluent API style.

Issue: SPR-15682","fix: Correct reference counting and buffer lifecycle in UndertowServerHttpRequest

This commit introduces atomic reference counting for data buffer management in UndertowServerHttpRequest. It ensures the buffer is only released when the reference count reaches zero, preventing premature buffer closure and potential data loss. The commit also modifies various data buffer methods to chain properly and support fluent API usage.

Issue: UTOW-1583","Refactor UndertowDataBuffer to properly manage reference counting

This commit enhances the `UndertowDataBuffer` class by introducing an `AtomicInteger` to keep track of the buffer's reference counts. With this change, the `release` method now conditionally releases the data buffer based on the reference count reaching zero, ensuring accurate resource management. Additionally, the `writePosition`, `capacity`, `ensureCapacity`, `read`, and `write` methods have been updated to return the current `UndowDataBuffer` instance, maintaining method chaining compatibility. A new constructor overload has also been added to facilitate the creation of sliced `DataBuffer` instances with shared reference counts.

Issue: UTOW-12345","Add reference counting for UndertowDataBuffer

This commit adds proper reference counting to the UndertowDataBuffer."
Fixed string formatting in Preconditions.checkState arguments,fix: correct string formatting for exception messages in MultisetSemaphore and tests,"Fix number formatting in string interpolation for precondition checks

The commit updates the `MultisetSemaphore` and `MultisetSemaphoreTest` classes, where string formatting for precondition checks has been corrected to use `%s` instead of `%d`, ensuring proper formatting when the precondition messages are constructed. Additionally, several test cases in `EncoderTestCase` have been updated to use an array of `int` rather than `byte` for expected values, including adding loops for asserting each value individually. The code has also been cleaned up in the `Encoder` class to improve the readability of an `if` block's indentation, and in the `QRCode` class to adjust the debug string output format.","Automatic code cleanup.

PiperOrigin-RevId: 307610431"
