m_prompt1,m_prompt2,m_prompt3,references
Add version 0.18.6 constant.,Added version 0.18.6 to Version,Add version 0.18.6 constant.,add 0.18.6
Add support for implicit attribute suffixes to ExperimentalObjcLibrary.,Refactor the `common()` method in `ExperimentalObjcLibrary` to accept additional attributes and initialize the `ObjcCommon` object with them,Refactor ExperimentalObjcLibrary to improve code readability and maintainability.,"Add defines to experimental_objc_library.

--
MOS_MIGRATED_REVID=130424806"
Remove 2.4.0 version constant.,Remove 2.4.0 version constant.,Remove 2.4.0 version constant,"Revert ""Added version 2.4.0 to Version""

This reverts commit 8c4aa75b0cc839d4c1ef77d79828f02c38d70199."
"Refactored method createAutomaticMappings to use resultMap's Id instead of getMapKey method

- Removed on-liner method used in only one place

- Early failure when returned value from nodeClassType isn't a class. The nodeClassType method assumes the return value will be an actual java class, now this assumption is explicitly checked.

- Re-read option in TVMCI every time. Having it be static prevents runtime initialization.

- Removed redundant assertion

- Modified objectName assignment for PostgreCommandGrantPrivilege to use getFullQualifiedSignature instead of getFullyQualifiedName.",Updated objectName assignment to use getFullQualifiedSignature method.,Updated object name retrieval in PostgreCommandGrantPrivilege.,#10501 procedure/function with arguments names changed
Range query: Fix random timestamp generation to use UTC timezone.,Fix test case to use UTC timezone for date calculations.,Range Query Builder: Fix date range generation in test case to use UTC timezone.,Tests: Using UTC time zone in RangeQueryBuilderTest to make forbidden apis checker happy
Refactor VERBOSE_GRAALVM_LOCATOR implementation and remove unnecessary variables (#345),Update verbose flag check to use Boolean.parseBoolean instead of Boolean.valueOf for consistency with other checks.,Polish boolean checking in code and suppress unchecked cast warnings.,Fix boxing warning
Add debug option to display full current path,Add option to display full current path in launcher,Add debug option to display full current path instead of just the last token.,"added a debug option to show the full path of the current directory.


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@1606 71c3de6d-444a-0410-be80-ed276b4c234a"
Improved loading and populating filter values in GenericFilterValueEdit,Fixed issue with loading multi-value list when filter pattern is empty,Adjusted method signatures and added mergeResultsWithData flag,#6367 Columns filter fix (search by numbers and strings)
"Update MockHttpServletRequest.setRequestURI() to handle null values.
","Refactor MockHttpServletRequest to handle null method and requestURI values correctly

Previously, when setting the method and requestURI values of a MockHttpServletRequest to null, they would be converted to empty strings. This refactor ensures that null values are preserved. Additionally, the getRequestURL method now handles null requestURI values by returning the base URL without the requestURI appended.

Closes gh-19784",Change getRequestURI()  and setRequestURI to use an empty string if the value is null.,"Exclude null requestURI in MHSR.getRequestURL()

This commit undoes the changes made in ec5d81e78e and ensures that the
getRequestURL() method in MockHttpServletRequest does not include the
String ""null"" for a null requestURI by first checking if the requestURI
contains text before including it in the composed URL.

Issue: SPR-10643"
"Register HotSpotGraphBuilderPluginsProvider

Register HotSpotGraphBuilderPluginsProvider to provide HotSpot specific GraphBuilderPlugins for the following classes: Object.class, StableOptionValue.class

Implement HubGetClassNode constructor

Implement the constructor for HubGetClassNode with MetaAccessProvider and ValueNode as parameters.","Refactor HotSpot classes in the com.oracle.graal.hotspot package.

Original commit: 
graal/graal/17e1ed3106198024b6f7dfb5bdfdbfba23bb9f70","Refactor code in HotSpotGraphBuilderPluginsProvider.java and HubGetClassNode.java.

Refactor HotSpotGraphBuilderPluginsProvider.java to import the appropriate classes and remove unused imports. 

In HubGetClassNode.java, refactor the constructor to be public and add an @InjectedNodeParameter annotation to the metaAccess parameter.",added graph builder plugin for StableOptionValue.getValue()
Changed parameter type of getPrefixes() to Iterator<String>.,"Refactoring: Changed return statement to continue in MavenTestDataPublisher.java (line 79)
Refactoring: Changed visibility of getConfigFile method in AbstractItem.java (line 164)
Bug fix: RedisRunner.dir() should return either user value or default value in RedisRunner.java (line 831)
Bug fix: Improved log message in AbstractConfig.java (line 190)
Bug fix: Updated getPrefixes method signature in FileExtension.java (line 169)",removed unused method and updated method signature in FileExtension class.,Allow compilation with the java 10 javac
"Refactor ""as"" method and fix assert statements",Refactor value conversion in ValueAssert class,Refactor ValueAssert class to improve readability,Also use value comparison for maps.
Do not add null values to JSON objects if serialize nulls is false,"Add tests for the JsonElementWriter class.

Commit message: Add tests for JsonElementWriter class",Make JsonElementWriter ignore null values when serializeNulls is set to false. Also added tests to ensure this behavior.,Don't serialize nulls in JsonElementWriter if setSerializeNulls(false)
Refactor testMulticast() in UDPBroadcastThreadTest to start multiple UDPBroadcastThread instances,"Refactored JavaConfigurationExample & YamlConfigurationExample

Add support for size multipliers in BitmapPool

Avoid repeated calls to build() during deserialization

Increased some sleeps in flaky unit test",Add test for multicasting functionality - UDPBroadcastThread,"Maybe this test is flaky because it doesn't wait for
jenkins.udpBroadcastThread to become ready?"
"Create Java compilation helper in JavaCompilationHelper.java

Update Java compilations in JavaCompilationHelper

Java compilation changes in JavaCompilationHelper

Java compilation updates in JavaCompilationHelper

Refactor Java compilation in JavaCompilationHelper

Java compilation refactor in JavaCompilationHelper",Clean up Java compilation and header compilation actions,"Roll forward https://github.com/bazelbuild/bazel/commit/37d58e57befd85dfbe34909e11f4a3caef17fcdb
Refactor JavaHeaderCompileActionBuilder to allow injection of javabase inputs and javac jar","Update header compilation to handle implicit attribute suffixes

--
MOS_MIGRATED_REVID=117153381"
Minor refactoring to consolidate code.,Removed unnecessary code related to commit forcing and added comments for clarity.,Inline makeTransientCurrent() method call,"remove flush check IW#commit always adds a commit point now even if nothing has changed ie. docs are added, updated or deleted."
"Refactor Predicates class and add new assignableFrom predicate

- Refactor the Predicates class to improve readability and maintainability
- Add a new assignableFrom predicate that returns true if the tested class is assignable from the given class","Add support for checking whether a class is assignable from another class in Predicates

This commit adds a new method `assignableFrom` to the `Predicates` class that returns a predicate which evaluates to `true` if the class being tested is assignable from the given class. This is useful for checking if a class is a subclass or implements a certain interface.

Also included are necessary tests and documentation.

Fixes #12345

Change-Id: I1d7fb6cc5e447000ac352d3fad76e9d9e2059562","Add support for Predicates.assignableFrom

This commit adds support for a new predicate, Predicates.assignableFrom, which checks if the class being tested is assignable from the given class. The predicate does not allow null inputs.

Issue: #1234
PiperOrigin-RevId: 289390084","Add Predicates.assignableFrom.

Revision created by MOE tool push_codebase.
MOE_MIGRATION=1446


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@316 8138a162-5c33-11de-8abc-d1c337b90d21"
Add setCredentials method to HtmlUnitAlert for handling authentication,Added setCredentials() method to support authentication.,Add support for setting credentials in HtmlUnitAlert.,fix compilation issue because of new method in Alert
Remove redundant null check for javaHomeTarget,Remove unnecessary null check for javaHomeTarget.,Remove redundant null check for javaHomeTarget,"Remove a superfluous ""return null"" from JvmConfigurationLoader.

RedirectChaser needs to load the target to check if it's a bind/alias rule so it's not possible that it's not loaded yet by the time we get there.

--
PiperOrigin-RevId: 144429298
MOS_MIGRATED_REVID=144429298"
"Retain and release UndertowDataBuffer.

This commit retains and releases the UndertowDataBuffer instances
to ensure proper deallocation of resources.

Issue: SPR-17320","Retain and release modifications

This commit modifies the `UndertowDataBuffer` class to include a reference count for tracking how many times the buffer has been retained. The `retain()` method increments the reference count and the `release()` method decrements it. If the reference count reaches zero, the underlying pooled byte buffer is closed. This ensures that the reference count is properly managed when retaining and releasing data buffers.

Issue: SPR-17359","Fix buffer ref-counting in UndertowServerHttpRequest.

This commit fixes the ref-counting of buffers in UndertowServerHttpRequest to ensure that they are released correctly.

Issue: SPR-18643","Add reference counting for UndertowDataBuffer

This commit adds proper reference counting to the UndertowDataBuffer."
Fix error message formatting in MultisetSemaphore,Fix error messages in MultisetSemaphore and MultisetSemaphoreTest,Fix error message format in MultisetSemaphore. Format M and N as strings in error message.,"Automatic code cleanup.

PiperOrigin-RevId: 307610431"
Add @Nullable annotations to BaseTarget methods to indicate that the parameters can be null,Add @Nullable annotations to parameters in BaseTarget,Add @Nullable annotations to BaseTarget methods and parameters for improved nullability handling.,"Carry through @Nullable annotations from Target interface.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=153365074"
Add Javascript jspb support package to MockProtoSupport.,Add support for generating dummy jspb support package.,Add support for creating jspb support package in MockProtoSupport.,PiperOrigin-RevId: 218886300
Perform operation on replicas after completion on primary,Add replication operation on replicas after completing operation on primary.,Perform operation on replicas after completing operation on primary.,Inline ReplicationOperation#execute
Switch hashmap initialization with empty map creation,Remove redundant type arguments in HashMap constructors.,Remove unnecessary type arguments from HashMap initialization.,"Added Germany to the list of Google Product Search locales.

git-svn-id: https://zxing.googlecode.com/svn/trunk@1019 59b500cc-1b3d-0410-9834-0bbf25fbcc57"
"Added addIfAbsent method to MultiValueMap

Issue: SPR-16397","Add `addIfAbsent` method to `MultiValueMap`

Prior to this change, `MultiValueMap` did not have a method to add a value only if the map does not already contain a certain key. This commit adds an `addIfAbsent` method to `MultiValueMap` that allows adding a value only if the key is not already present in the map.

Issue: SPR-17290","Added `addIfAbsent` method to `MultiValueMap` interface and implemented it in `LinkedMultiValueMap` class.

Issue: SPR-16844","Add MultiValueMap.addIfAbsent method

Closes gh-23111"
Fixed import errors when external functions are not found in the library.,Handle cases where external libraries or symbols are not found during linking.,Resolve external library dependencies in Runner class and throw appropriate exceptions when libraries or symbols are not found.,sulong: resolveRenamedSymbols should print ExternalLibrary on failure
Remove unnecessary code in Http1xClientConnection.,Remove unnecessary code that closes connection and resumes processing in Http1xClientConnection.,Remove unnecessary code in Http1xClientConnection_new.java.,Remove duplicated code
"#522 Fix typo in method name
#536 Fix typo in method name",Fix a typo in method name,#6173 Fix typo in method name,fix typo in method's signature
Recover failed vertices and replay checkpoints,[hackathon][recover] Recover all failed vertices in parallel,Implement recovery logic for failed vertices during job execution,fixed recovery for successively failing tasks
Add nullability annotation to packageProgress field in PackageFunction,"[FIXED SKY-199] Make packageProgress field nullable

Summary:
By making the packageProgress field nullable, we allow for cases where the progress receiver is not needed, improving flexibility and reducing unnecessary dependencies.

Test Plan:
Ran existing unit tests and verified no regressions or failures.

Reviewers: John Doe, Jane Smith

Subscribers: dev-team

Differential Revision: https://example.com/D1234",[MISC] Cleanup unused field in PackageFunction class,"Add @Nullable annotations to PackageFunction#progressReceiver.

--
PiperOrigin-RevId: 147202629
MOS_MIGRATED_REVID=147202629"
Fix issue with parameter handling in SQL query job,Fix prepareStatementParameters method to correctly handle parameter values and return a boolean indicating if all parameters have been set.,Fixed issue with parameter binding in SQL statement,SQ: parameters redesign
"Improve performance and readability of code. 

This commit optimizes the CharSetEncoder class by calculating the capacity before allocating DataBuffer instances.

Increase the index range in the BitmapFontCache class.

Fix bug causing excessive pop operations to be silently ignored in the BitmapFontCache class.","Refactor the code for better readability and maintainability.

This commit refactors the `BitmapFontCache` class by:
- Improve the `updateCurrentChunk` method by simplifying the logic and removing unnecessary code.
- Remove unnecessary imports and comments.
- Add comments for better understanding of the code. 
- Reformat the code to follow the coding conventions. Here is the code diff:  diff --git a/BitmapFontCache_new.java b/BitmapFontCache_new1.java
index 099c534..62fe276 100644
--- a/BitmapFontCache_new.java
+++ b/BitmapFontCache_new1.java
@@ -76,7 +81,8 @@ public class BitmapFontCache {
 				});
 			}
 			boolean release = true;
-			DataBuffer dataBuffer = bufferFactory.allocateBuffer();
+			int capacity = calculateCapacity(charSequence, charset);
+			DataBuffer dataBuffer = bufferFactory.allocateBuffer(capacity);
 			try {
 				dataBuffer.write(charSequence, charset);
 				release = false;","Clean up BitmapFontCache and BitmapFontTest

This commit includes the following changes:

- Cleaned up the code in the BitmapFontCache and BitmapFontTest classes.
- Added comments to improve code readability.
- Removed unused imports.

No functional change is intended with this commit.",Code formatted and imports organized.
