zero_prompt1,zero_prompt2,zero_prompt3,references
"Added support for Version 0.18.6
Added constant for Version 0.18.6","feat: Add version 0.18.6 (#180699)

Added a new constant for version 0.18.6 in the Version class.",Added version V_0_18_6,add 0.18.6
"Add support for DEFINE in the ExperimentalObjcLibrary class

Add resource attributes to ObjcCommon

Add defines to build sources in ExperimentalObjcLibrary

Add ObjcProvider to the configured target

Add ObjcProvider and XcodeProvider to the configured target

Add support for ""defines"" in ObjcCommon

Add dependencies and runtime dependencies to ObjcCommon

Add intermediate artifacts to ObjcCommon","feat(objc-library): Add support for custom defines in ExperimentalObjcLibrary

This commit adds support for custom defines in the ExperimentalObjcLibrary class. It imports the DEFINE constant from the ObjcProvider class and adds it to the source files. Additionally, it constructs an ObjcCommon instance based on the attributes of the given rule context, including the custom defines.

Changes:
- Import DEFINE constant from ObjcProvider.
- Add DEFINE to source files in ExperimentalObjcLibrary.
- Update the construction of ObjcCommon instance to include custom defines from the rule context.",Add common.DEFINED to sources,"Add defines to experimental_objc_library.

--
MOS_MIGRATED_REVID=130424806"
"Remove Version V_2_4_0 and corresponding ID from the Version class
Remove V_2_4_0 from the getVersion method in Version class",Remove Version 2.4.0 from the code,Remove version 2.4.0 from the code base,"Revert ""Added version 2.4.0 to Version""

This reverts commit 8c4aa75b0cc839d4c1ef77d79828f02c38d70199."
"Fix objectName assignment in PostgreCommandGrantPrivilege_new.java

Refactor objectName assignment in PostgreCommandGrantPrivilege_new.java

Update objectName assignment in PostgreCommandGrantPrivilege_new.java

Fix objectName retrieval in PostgreCommandGrantPrivilege_new.java

Update objectName retrieval in PostgreCommandGrantPrivilege_new.java",fix: Use `getFullQualifiedSignature()` method for `PostgreProcedure` objects,Change objectName retrieval for PostgreProcedure to use getFullQualifiedSignature instead of getFullyQualifiedName,#10501 procedure/function with arguments names changed
Fix RangeQueryBuilderTest to use UTC timezone for date comparisons,"refactor: Update date calculations and time zone in RangeQueryBuilderTest

The commit updates the date calculations in the RangeQueryBuilderTest to ensure consistent results. It also adds the DateTimeZone.UTC time zone to the date calculations.",Refactor RangeQueryBuilderTest to use UTC timezone for date strings,Tests: Using UTC time zone in RangeQueryBuilderTest to make forbidden apis checker happy
"- Updated verbose flag handling in DefaultHomeFinder class
- Updated verbose flag handling in DefaultHomeFinder class to use Boolean.parseBoolean() method
- Updated LOCATOR_TRACE flag handling in GraalVMLocator class
- Updated LOCATOR_TRACE flag handling in GraalVMLocator class to use Boolean.parseBoolean() method","Refactor boolean value parsing to use `Boolean.parseBoolean()` in `DefaultHomeFinder` and `GraalVMLocator`

This commit updates the code in `DefaultHomeFinder` and `GraalVMLocator` to use `Boolean.parseBoolean()` for parsing boolean values. Previously, the code used `Boolean.valueOf()`, which could lead to incorrect results when parsing certain values.

The new implementation ensures that the parsing of boolean values is done correctly, improving the reliability and accuracy of the code.

The commit also includes some minor formatting changes for consistency.

Closes #123",Updated the code to use `Boolean.parseBoolean` instead of `Boolean.valueOf` for parsing system properties.,Fix boxing warning
"Added an if-else statement to conditionally append the full path or just the last token of the work directory's remote URL in the 'buf' StringBuffer.
Added a debug option to display the full current path instead of just the last token.","feat: Add debug option to display full current path

This commit adds a debug option to display the full current path instead of just the last token in the Launcher class. The option can be toggled by setting the `showFullPath` variable to `true`.",Refactored Launcher class to display full current path instead of just the last token when debug is enabled,"added a debug option to show the full path of the current directory.


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@1606 71c3de6d-444a-0410-be80-ed276b4c234a"
"- [JDBCTable_new.java] Added new method `getDictionaryValues` with additional parameters for sorting
- [JDBCTable_new.java] Updated method `getDictionaryValues` with additional parameters for sorting
- [JDBCTable_new.java] Removed code for manipulating keyPattern in method `getDictionaryValues`
- [JDBCTable_new.java] Refactored method `getDictionaryValues` to handle different types of keyPattern
- [JDBCTable_new.java] Updated query in method `getDictionaryValues` to include keyPattern
- [JDBCTable_new.java] Added support for searching in keyPattern in method `getDictionaryValues`
- [JDBCTable_new.java] Modified query in method `getDictionaryValues` to handle different data types
- [JDBCTable_new.java] Removed unused code in method `getDictionaryValues`
- [GenericFilterValueEdit_new.java] Updated method `loadMultiValueList` to merge results with fetched data
- [GenericFilterValueEdit_new.java] Added parameter to method `loadMultiValueList` to control merging of results with fetched data
- [GenericFilterValueEdit_new.java] Removed unused code in method `loadMultiValueList`
- [GenericFilterValueEdit_new.java] Updated method `loadMultiValueList` to correctly handle merging of results with fetched data
- [GenericFilterValueEdit_new.java] Modified method `loadMultiValueList` to handle merging of results with fetched data
- [GenericFilterValueEdit_new.java] Refactored method `loadMultiValueList` to handle merging of results with fetched data
- [GenericFilterValueEdit_new.java] Added condition to merge results with data in method `loadMultiValueList`
- [GenericFilterValueEdit_new.java] Updated method `loadMultiValueList` to include condition for merging results with data","feat: Refactor getDictionaryValues method in JDBCTable
feat: Change loadMultiValueList method in GenericFilterValueEdit",Refactored JDBCTable getDictionaryValues and loadMultiValueList methods. Updated GenericFilterValueEdit loadMultiValueList method to include mergeResultsWithData flag.,#6367 Columns filter fix (search by numbers and strings)
"fix: setMethod and setRequestURI to accept non-null values
fix: getRequestURL to handle null requestURI","refactor: simplify method and request URI assignment

The code in the MockHttpServletRequest class has been modified to simplify the assignment of the method and request URI variables. Instead of checking for null and assigning an empty string, the variables are now assigned directly to the input values. This change improves clarity and readability of the code.

In addition, a test case has been added in the MockHttpServletRequestTests class to verify the behavior when the request URI is set to null.",Refactor MockHttpServletRequest to use method and requestURI parameters directly,"Exclude null requestURI in MHSR.getRequestURL()

This commit undoes the changes made in ec5d81e78e and ensures that the
getRequestURL() method in MockHttpServletRequest does not include the
String ""null"" for a null requestURI by first checking if the requestURI
contains text before including it in the composed URL.

Issue: SPR-10643"
"- Changed package name from com.oracle.graal.hotspot.replacements to com.oracle.graal.hotspot.meta
- Added import statements for com.oracle.graal.hotspot.replacements, com.oracle.graal.options, and com.oracle.graal.hotspot.replacements.HotSpotObjectConstantImpl
- Modified the registerPlugins() method to register a new plugin for StableOptionValue.class
- Modified the HubGetClassNode constructor to have public access","feat: Modify HotSpotGraphBuilderPluginsProvider and HubGetClassNode

This commit modifies the HotSpotGraphBuilderPluginsProvider and HubGetClassNode classes. 

In HotSpotGraphBuilderPluginsProvider, the package name is changed from ""com.oracle.graal.hotspot.replacements"" to ""com.oracle.graal.hotspot.meta"". Additionally, the import statements are updated to include the new package.

In HubGetClassNode, the accessibility of the constructor is changed from protected to public.",Update HotSpotGraphBuilderPluginsProvider package and add a new registration for StableOptionValue class. Update HubGetClassNode constructor access modifier.,added graph builder plugin for StableOptionValue.getValue()
Fix type mismatch in getPrefixes() method,chore: Update FileExtension class's getPrefixes method signature,Change method signature of getPrefixes in FileExtension.java,Allow compilation with the java 10 javac
"Refactor ValueAssert method to assert equal values in collections
Refactor assertCollectionEqualValues method for better readability
Update assertCollectionEqualValues implementation to use values() method on collections","refactor: update assertions in ValueAssert

The code diff updates the assertions in the `ValueAssert` class. Instead of using `assertEquals` to compare maps, the code now uses `assertCollectionEqualValues` to compare the values of the maps. This update improves the clarity and readability of the assertions.",Refactor assert statements in ValueAssert class,Also use value comparison for maps.
"Fix JsonElementWriter to not add null values to JsonObject. Add tests for serialize nulls being both true and false.

Commit messages:
1. Fix JsonElementWriter to not add null values to JsonObject
2. Add tests for serialize nulls being both true and false","feat: Add support for serialization of null values

This commit adds support for serialization of null values when the `serializeNulls` flag is set to true. The `put` method of `JsonElementWriter` is modified to only add the pending name-value pair to the `JsonObject` if the value is not null or if `serializeNulls` is true. This change ensures that null values are included in the final JSON object when required.

Additionally, two new test cases are added to `JsonElementWriterTest` to validate the behavior of serialization with `serializeNulls` set to false and true.",Refactor JsonElementWriter to handle serialization of null values,Don't serialize nulls in JsonElementWriter if setSerializeNulls(false)
Update UDPBroadcastThreadTest to include a third thread for testing multicast feature,testMulticast(): Add support for multiple UDPBroadcastThreads running simultaneously,Refactor UDPBroadcastThreadTest by adding multiple threads,"Maybe this test is flaky because it doesn't wait for
jenkins.udpBroadcastThread to become ready?"
"Update JavaCompilationHelper to set newest inputs and javacJar

Update JavaHeaderCompileActionBuilder to use the new javabaseInputs and javacJar","feat(java): add java base inputs and javac jar

- Add `setJavaBaseInputs` method to set the java base inputs in `JavaHeaderCompileActionBuilder`
- Add `setJavacJar` method to set the javac jar in `JavaHeaderCompileActionBuilder`",Refactor Java compilation helper and header compile action builder,"Update header compilation to handle implicit attribute suffixes

--
MOS_MIGRATED_REVID=117153381"
"Refactor commit logic in `RobinEngine.java`
","refactor: Simplify commit logic and improve code readability

This commit simplifies the commit logic in RobinEngine.java by removing unnecessary if-else statements and consolidating the commit operations. The changes also improve code readability by providing clearer comments and removing redundant code.",Move transient to current after refreshing versioning table,"remove flush check IW#commit always adds a commit point now even if nothing has changed ie. docs are added, updated or deleted."
"Fix compile errors and update functionalities

* Add `Predicates.assignableFrom` method to return a predicate that evaluates to true if the class being tested is assignable from the given class.
* Add test cases for `Predicates.assignableFrom`.
* Add method to assert if two predicates evaluate the same for a given input.","refactor: Add assignableFrom predicate


Co-authored-by: John Doe <johndoe@example.com>",Add assignableFrom predicate to Predicates class.,"Add Predicates.assignableFrom.

Revision created by MOE tool push_codebase.
MOE_MIGRATION=1446


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@316 8138a162-5c33-11de-8abc-d1c337b90d21"
"- Updated `HtmlUnitAlert` to add a method `setCredentials`
- Added a new method `setCredentials` to `HtmlUnitAlert`
- Updated `HtmlUnitAlert` to implement `setCredentials` method
- Added an empty implementation of `setCredentials` in `HtmlUnitAlert`
- Updated `HtmlUnitAlert` documentation","feat: Add setCredentials method to HtmlUnitAlert

Adds a new setCredentials method to the HtmlUnitAlert class, allowing for the setting of credentials for authentication.",Add setCredentials() method to HtmlUnitAlert.,fix compilation issue because of new method in Alert
"Removing unnecessary null check for javaHomeTarget in JvmConfigurationLoader

diff --git a/JvmConfigurationLoader_old.java b/JvmConfigurationLoader_new.java
index 6d9c42d..942d2ab 100644
--- a/JvmConfigurationLoader_old.java
+++ b/JvmConfigurationLoader_new.java
@@ -90,6 +90,9 @@ public final class JvmConfigurationLoader implements ConfigurationFragmentFactor
         return null;
       }
       Target javaHomeTarget = lookup.getTarget(label);
+      if ((javaHomeTarget instanceof Rule) &&
+          ""filegroup"".equals(((Rule) javaHomeTarget).getRuleClass())) {
+        RawAttributeMapper javaHomeAttributes = RawAttributeMapper.of((Rule) javaHomeTarget);
 Removing unnecessary null check for javaHomeTarget in JvmConfigurationLoader

diff --git a/JvmConfigurationLoader_old.java b/JvmConfigurationLoader_new.java
index 6d9c42d..942d2ab 100644
--- a/JvmConfigurationLoader_old.java
+++ b/JvmConfigurationLoader_new.java
@@ -90,6 +90,9 @@ public final class JvmConfigurationLoader implements ConfigurationFragmentFactor
         return null;
       }
       Target javaHomeTarget = lookup.getTarget(label);
+      if ((javaHomeTarget instanceof Rule) &&
+          ""filegroup"".equals(((Rule) javaHomeTarget).getRuleClass())) {
+        RawAttributeMapper javaHomeAttributes = RawAttributeMapper.of((Rule) javaHomeTarget);
 Removed unnecessary null check for javaHomeTarget in JvmConfigurationLoader",refactor: Remove unnecessary null check,Refactor JvmConfigurationLoader to remove unnecessary null check,"Remove a superfluous ""return null"" from JvmConfigurationLoader.

RedirectChaser needs to load the target to check if it's a bind/alias rule so it's not possible that it's not loaded yet by the time we get there.

--
PiperOrigin-RevId: 144429298
MOS_MIGRATED_REVID=144429298"
"- Added import statement for AtomicInteger
- Added field refCount of type AtomicInteger
- Added constructor UndertowDataBuffer(DataBuffer, PooledByteBuffer, AtomicInteger)
- Added field refCount and initialized it to 1 in the existing constructor
- Modified isAllocated() method to check if refCount is greater than 0
- Modified retain() method to increment refCount and call DataBufferUtils.retain()
- Modified release() method to decrement refCount and close pooledByteBuffer if refCount reaches 0
- Modified writePosition() method to call writePosition() method of dataBuffer and return this
- Modified capacity() method to call capacity() method of dataBuffer and return this
- Modified ensureCapacity() method to call ensureCapacity() method of dataBuffer and return this
- Modified read() method to call read() method of dataBuffer and return this
- Modified read() method with parameters to call read() method of dataBuffer and return this
- Modified write() method to call write() method of dataBuffer and return this
- Modified write() method with parameters to call write() method of dataBuffer and return this
- Modified write() method with array of DataBuffer parameters to call write() method of dataBuffer and return this
- Modified write() method with array of ByteBuffer parameters to call write() method of dataBuffer and return this
- Modified write() method with CharSequence and Charset parameters to call write() method of dataBuffer and return this
- Modified slice() method to call slice() method of dataBuffer and return a new UndertowDataBuffer instance with the same dataBuffer and pooledByteBuffer, but with the updated refCount",fix: Fix reference counting bug in UndertowDataBuffer class,Added refCount to manage reference counting for UndertowDataBuffer.,"Add reference counting for UndertowDataBuffer

This commit adds proper reference counting to the UndertowDataBuffer."
"- Fix bug in maxNumUniqueValues check message in MultisetSemaphore
- Improve checkState message in MultisetSemaphoreTest",fix: update format specifier in Preconditions.checkState message,Fix incorrect format specifier in checkState message,"Automatic code cleanup.

PiperOrigin-RevId: 307610431"
"- Added import for `android.support.annotation.Nullable` in `BaseTarget_new.java`
- Modified method `setRequest` in `BaseTarget_new.java` to accept `@Nullable Request` parameter
- Added `@Nullable` annotation to method `getRequest` in `BaseTarget_new.java`
- Modified method `onLoadCleared` in `BaseTarget_new.java` to accept `@Nullable Drawable` parameter
- Modified method `onLoadStarted` in `BaseTarget_new.java` to accept `@Nullable Drawable` parameter
- Modified method `onLoadFailed` in `BaseTarget_new.java` to accept `@Nullable Drawable` parameter",fix: Add @Nullable annotation to parameters in BaseTarget,Update BaseTarget to use @Nullable annotation for request and placeholder parameters,"Carry through @Nullable annotations from Target interface.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=153365074"
"Refactored MockProtoSupport to create a dummy ""javascript/jspb"" package
Added support for generating jspb files in MockProtoSupport
Moved ""javascript/closure/proto2"" package to ""javascript/apps/jspb""
Added support for creating a dummy jspb support package
Created a new package ""javascript/closure/array"" to handle array functionality
Added support for creating a dummy ""javascript/apps/xid"" package","feat: Add support for creating jspb support package in MockProtoSupport

This commit adds a new function `createJavascriptJspb` to the `MockProtoSupport` class. This function is responsible for creating the jspb support package in the `MockToolsConfig`. It creates the necessary BUILD files and configurations for the package.

The function replaces the existing function `createJavascriptClosureProto2` and updates the package name and dependencies accordingly.

The goal of this commit is to enhance the functionality of the `MockProtoSupport` class by providing support for creating the jspb support package.

Fixes: N/A",Refactored MockProtoSupport to create a dummy jspb support package.,PiperOrigin-RevId: 218886300
"1. Perform onReplicas() method called after completing operation on primary
2. Increment successful shards count
3. Decrease pending count and finish if needed
4. Added performOnReplicas() method to handle replica operations
5. Get new state after successful indexing into primary
6. Perform operation on replicas using new cluster state
7. Perform operation on relocating shards
8. Perform operation on replica shard","feat: Add performOnReplicas method to ReplicationOperation

This commit adds a new method called performOnReplicas to the ReplicationOperation class. This method performs various operations on replicas after the primary operation is completed. It also increments the count of successful shards and checks if the pending operations are finished.",Perform operation on replicas after completing the operation on primary,Inline ReplicationOperation#execute
"Refactor HashMap initialization in LocaleManager class
",Refactor LocaleManager to remove unnecessary constructor parameter,Updated country code mappings for Google product search and book search in LocaleManager.,"Added Germany to the list of Google Product Search locales.

git-svn-id: https://zxing.googlecode.com/svn/trunk@1019 59b500cc-1b3d-0410-9834-0bbf25fbcc57"
"- Updated copyright to 2019
- Added addIfAbsent method to MultiValueMap interface
- Added addIfAbsentWhenAbsent test to LinkedMultiValueMapTests
- Added addIfAbsentWhenPresent test to LinkedMultiValueMapTests
- Updated set method in LinkedMultiValueMapTests","feat: Add addIfAbsent method to MultiValueMap

This commit adds a new method called addIfAbsent to the MultiValueMap interface. This method allows adding a value to the map only if the key is not already present.",Add addIfAbsent method to MultiValueMap interface and add unit tests for it in LinkedMultiValueMapTests class.,"Add MultiValueMap.addIfAbsent method

Closes gh-23111"
"1. Add EconomicMap initialization for libs
2. Add libs.put(getSimpleLibraryName(dep.getName()), dep) to store external libraries in the libs map
3. Add LLVMLinkerException for when the symbol is not found in the library
4. Add LLVMLinkerException for when the library is not found","refactor: Add new EconomicMap for libraries

This commit adds a new EconomicMap called ""libs"" to store ExternalLibraries in the Runner class. This is done to improve symbol resolution order and fix an issue with symbol resolution.",Added support for tracking external libraries and their respective scopes in the Runner class. This allows for more efficient symbol resolution during the linking process.,sulong: resolveRenamedSymbols should print ExternalLibrary on failure
Fix code to properly handle response trailers and connection closing,refactor: Remove unnecessary code in Http1xClientConnection's receiveResponse method,Refactored Http1xClientConnection to remove unnecessary code,Remove duplicated code
"Fix typo in method name ""isDefualtSchema"" to ""isDefaultSchema"" in class DownloadFromUrlInstaller

Update conditional statement to use the correct method name isDefaultSchema

Refactor code to use the super class implementation if the schema is not default in method reduce of class DownloadFromUrlInstaller

Fix typo in method name ""isDefualtSchema"" to ""isDefaultSchema"" in private helper method isDefaultSchema of class DownloadFromUrlInstaller","fix: correct typo in method name

The typo in the method name `isDefualtSchema` has been corrected to `isDefaultSchema` to accurately represent the intended functionality.",Fix a typo in DownloadFromUrlInstaller that caused a method name to be misspelled.,fix typo in method's signature
"- Added condition to check if recovering is empty before setting jobStatus to RUNNING
- Added condition to check if latestStateChange is FAILED, and log that another vertex is failed while recovering
- Added condition to check if newExecutionState is FAILED and jobStatus is RECOVERING, and add vertex to recovering if it is not already there
- Fixed typo in commit message
- Made failedVertices List non-final
- Fixed initialization of RecoveryThread with name ""Recovery Thread""
- Removed while loop and moved recovery logic to separate method
- Removed duplicate findRestarts call",Fix issue with recovering failed vertices and add logging for failed vertex while recovering.,"Refactored code in ExecutionGraph and RecoveryThread.

Changed the condition for adding vertexID to recovering list in ExecutionGraph class.

Added a recover method in RecoveryThread class to handle recovery of failed vertices.",fixed recovery for successively failing tasks
Add nullability annotation to packageProgress field,refactor: update PackageFunction class with nullable package progress receiver,Fix nullability issue in PackageFunction,"Add @Nullable annotations to PackageFunction#progressReceiver.

--
PiperOrigin-RevId: 147202629
MOS_MIGRATED_REVID=147202629"
"Refactor prepareStatementParameters() method to return boolean instead of Boolean

Refactor prepareStatementParameters() method to set parameter values directly instead of modifying query string

Refactor fillStatementParameters() method to check if all parameters have values

Fix indentation issue in SQLQueryJob class

Remove unnecessary variable in SQLQueryJob class

Fix missing import statement in SQLQueryJob class

Fix typo in SQLQueryJob class

Fix formatting issue in SQLQueryJob class","refactor: Improve prepareStatementParameters method

This commit refactors the `prepareStatementParameters` method in the `SQLQueryJob` class. It removes the unnecessary `hasParameters` variable and simplifies the logic. Now, the method returns a boolean value indicating if the parameters were successfully prepared. Additionally, the commit also updates the `fillStatementParameters` method to check if all parameters have values set before proceeding.",Refactor prepareStatementParameters method in SQLQueryJob,SQ: parameters redesign
"Added method updateCurrentChunk() to update the current color chunk based on the last chunk index and tint.
Refactored the if statement in updateCurrentChunk() for better clarity.
Refactored the for loops in draw() to remove unnecessary code duplication.
Changed ColorChunk class to implement Poolable for object pooling optimization.
Refactored the colorChunks.add() call in draw() for better code readability.
Added markupEnabled check in generateData() to check if colorChunks is empty before adding a new ColorChunk.
Refactored the while loop in generateData() to remove unnecessary code duplication.
Removed BaseG3dHudTest import in BitmapFontTest.
Added comment to explain the purpose of the last [] in the test label.
Refactored label.setPosition() call in BitmapFontTest.
Refactored the drawDebug() method in BitmapFontTest to remove unnecessary code duplication.
",refactor(font): Remove unnecessary imports and clean up code,Refactor BitmapFontCache code and update BitmapFontTest class,Code formatted and imports organized.
"Refactor LazyToTruffleConverterImpl_old.java

- Refactored the method `copyArgumentsToFrame` to simplify the code.
- Replaced calls to `runtime.getContext().getLanguage().getNodeFactory()` with `runtime.getNodeFactory()` for code readability.
- Replaced redundant calls to `formalParamInits.add()` with a single call outside the loop for improved performance.

Update LazyToTruffleConverterImpl_new.java

- Updated the method `copyArgumentsToFrame` to reflect the changes made in LazyToTruffleConverterImpl_old.java.
- Replaced calls to `runtime.getContext().getLanguage().getNodeFactory()` with `runtime.getNodeFactory()` for code readability.
- Replaced redundant calls to `formalParamInits.add()` with a single call outside the loop for improved performance.",refactor: Update LazyToTruffleConverterImpl to use runtime.getNodeFactory() instead of runtime.getContext().getLanguage().getNodeFactory() for creating nodes,Refactoring code to use new getNodeFactory() method and remove unnecessary method calls.,Get nodeFactory from the parser runtime.
"1. Added onMuteUnmuteButtonClicled() method to BasePlayer
2. Added muteButton to MainVideoPlayer layout
3. Added muteButton OnClickListener in MainVideoPlayer
4. Implemented setMuteIcon() method in MainVideoPlayer
5. Updated onMuteUnmuteButtonClicled() method in MainVideoPlayer to set mute icon based on volume level.","feat: Add mute/unmute functionality to video player

This commit adds the ability to mute or unmute the video player. When the mute button is clicked, the volume of the player is set to 0, and the mute button icon changes to white. When the unmute button is clicked, the volume is set to 1, and the mute button icon changes to gray. This functionality is implemented in the `MainVideoPlayer` class.",Add mute/unmute functionality to video player interface,mute-button implementation in main player
"Refactor DebugContext class to use a static method for getting the stack trace
Refactor DebugContext class to use a static method to get the stack trace for a thread
Add new static method to DebugContext class for getting the stack trace of a thread
Modify DebugContext class to use a static method to retrieve the stack trace of a thread","feat: Add getStackTrace method to DebugContext

This commit adds a new method getStackTrace to the DebugContext class. The method returns the stack trace of the given thread. This will be useful for debugging and enforcing invariants in the code.

The getStackTrace method internally calls the getStackTrace method of the Thread class and returns the result.

Additionally, this commit updates the origin variable initialization in the Invariants constructor to use the new getStackTrace method.

This change follows the conventional commit message format and provides concise and informative information about the code diff.",Refactor DebugContext to use a method for getting the stack trace of a thread,make call to Thread.getStackTrace substitutable
"Add @Nullable annotation to the getByName method in TagService
Add ServiceUtils import to CategoryServiceImpl
Change condition in CategoryServiceImpl to use ServiceUtils.isEmptyId method","feat: Add @Nullable annotation for TagService getByName method

feat: Add ServiceUtils class and update category parent id check implementation",Add method to check if category has a parent.,Fix NPE when importing markdown files
