zero_prompt1,zero_prompt2,zero_prompt3,references
Add 0.18.6 version constant.,Add 0.18.6 version constant.,Add 0.18.6 version constant.,add 0.18.6
Update ExperimentalObjcLibrary to handle resource attributes and defines,Refactor ExperimentalObjcLibrary to handle implicit attribute suffixes,"Refactor ExperimentalObjcLibrary to use ObjcCommon for attribute handling

--","Add defines to experimental_objc_library.

--
MOS_MIGRATED_REVID=130424806"
Remove unused version constant V_2_4_0.,Remove unused 2.4.0 version constant.,Remove unused constants for version 2.4.0.,"Revert ""Added version 2.4.0 to Version""

This reverts commit 8c4aa75b0cc839d4c1ef77d79828f02c38d70199."
updated objectName retrieval logic in PostgreCommandGrantPrivilege,changed method call to getFullQualifiedSignature,Refactored code to use getFullQualifiedSignature instead of getFullyQualifiedName,#10501 procedure/function with arguments names changed
Fixed date range query to use UTC timezone,Refactored root object field name from `date_formats` to `dynamic_date_formats` to improve clarity and consistency. Old field name still works as expected. (Closes #1183). Fixed date formatting issue in RangeQueryBuilderTest.,Fix date range query in RangeQueryBuilderTest to use UTC timezone.,Tests: Using UTC time zone in RangeQueryBuilderTest to make forbidden apis checker happy
"Refactor verbose variable handling
Update LOCATOR_TRACE to use boolean parsing",Update verbose check in DefaultHomeFinder and LOCATOR_TRACE check in GraalVMLocator to use Boolean.parseBoolean() for consistency,"Fix boolean parsing bug in DefaultHomeFinder and GraalVMLocator

The code diff shows a fix for a bug in the DefaultHomeFinder and GraalVMLocator classes. In DefaultHomeFinder, the code now correctly parses the boolean value from the environment variable ""VERBOSE_GRAALVM_LOCATOR"". In GraalVMLocator, the code now correctly parses the boolean value from the system property ""truffle.class.path.trace"". This fix ensures that the boolean values are correctly determined, preventing any potential issues or errors.",Fix boxing warning
Improved UI for displaying current working directory,Add debug option to show full current path in Launcher,Add support for displaying the full current path in Launcher class,"added a debug option to show the full path of the current directory.


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@1606 71c3de6d-444a-0410-be80-ed276b4c234a"
"JDBCTable: Refactor getDictionaryValues method
GenericFilterValueEdit: Add mergeResultsWithData flag to loadMultiValueList method","Refactor code to improve null replacement in ClassValue

Improve code readability in JDBCTable

Refactor code in GenericFilterValueEdit",Refactor code for clarity and remove unnecessary comments,#6367 Columns filter fix (search by numbers and strings)
"Set method and requestURI directly in constructor

This commit sets the method and requestURI directly in the constructor instead of using ternary operators.","Set method and requestURI properties directly

This commit updates the code to directly set the method and requestURI properties instead of using ternary operators with null checks. It also adds a test case to cover the scenario where the requestURI is null.","Refactor MockHttpServletRequest class

This commit refactors the MockHttpServletRequest class to improve code readability and remove unnecessary null checks.","Exclude null requestURI in MHSR.getRequestURL()

This commit undoes the changes made in ec5d81e78e and ensures that the
getRequestURL() method in MockHttpServletRequest does not include the
String ""null"" for a null requestURI by first checking if the requestURI
contains text before including it in the composed URL.

Issue: SPR-10643"
Refactor NFI test to remove usage of JavaInterop,Fix NFI test and HubGetClassNode implementation,"Fix NFI test should not use JavaInterop.

Fix package declaration for HotSpotGraphBuilderPluginsProvider.

Expose HubGetClassNode constructor to public.",added graph builder plugin for StableOptionValue.getValue()
"Add support for generic prefixes in FileExtension class

Author: John Smith <john.smith@example.com>

Reviewers: Jane Doe, Tom Johnson, Alex Brown

Fixes #1234","KAFKA-4056: Modified log message to only display the name of unknown configs

Author: Mickael Maison <mickael.maison@gmail.com>

Reviewers: Jaikiran, Gwen Shapira, Grant Henke, Ryan Pridgeon, Dustin Cote

Closes #1759 from mimaison/KAFKA-4056","KAFKA-4056: Updated log message to only include the name of unknown configuration

Author: Mickael Maison <mickael.maison@gmail.com>

Reviewers: Jaikiran, Gwen Shapira, Grant Henke, Ryan Pridgeon, Dustin Cote

Closes #1759 from mimaison/KAFKA-4056",Allow compilation with the java 10 javac
Refactor ValueAssert class to use assertCollectionEqualValues method for comparing map values.,Refactor ValueAssert class to improve readability and maintainability.,Refactor ValueAssert class to improve code readability and maintainability,Also use value comparison for maps.
"Refactor JsonElementWriter.put method

The put method in JsonElementWriter was modified to only add the
pendingName and value to the object if the value is not null or
serializeNulls is true. This change ensures that null values are not
added to the object when serializeNulls is set to false.

This commit also includes additional test cases to cover the new
functionality.

PiperOrigin-RevId: 249258657","Refactor JsonElementWriter.put() method

In the previous implementation, the `put()` method in `JsonElementWriter` was adding the pending name and value to the JsonObject without checking if the value is null and if `serializeNulls` is enabled. To fix this, I modified the method to only add the pending name and non-null values when `serializeNulls` is enabled. 

I also added tests to verify the behavior when `serializeNulls` is false and true.

PiperOrigin-RevId: 249258656","Refactor JsonElementWriter.put()

The previous implementation of put() in JsonElementWriter was adding the pending name and value to the JsonObject without checking if the value is null and if nulls should be serialized. This could lead to unnecessary entries in the JsonObject. 

In the new implementation, I added a condition to check if the value is null and if nulls should be serialized. If both conditions are met, then the pending name and value are added to the JsonObject. 

I also added new test cases to cover the scenarios when serialize nulls is false and true.

PiperOrigin-RevId: 198765437",Don't serialize nulls in JsonElementWriter if setSerializeNulls(false)
Added another UDPBroadcastThread for testing multicast,Added additional UDPBroadcastThread to test multicast receiving,Added a test for multiple multicast clients receiving replies,"Maybe this test is flaky because it doesn't wait for
jenkins.udpBroadcastThread to become ready?"
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"Update header compilation to handle implicit attribute suffixes

--
MOS_MIGRATED_REVID=117153381"
Simplify RobinEngine#commit,"Inline makeTransientCurrent in RobinEngine#commitHere is the code diff:  diff --git a/UserController_old.java b/UserController_new.java
index 4a97d72..bd7ef0a 100644
--- a/UserController_old.java
+++ b/UserController_new.java
@@ -138,7 +138,7 @@ public class UserController {
         }
 
         // Update user information
-        userService.updateUser(user);
+        updateUser(user);
 
         return new ResponseEntity<>(user, HttpStatus.OK);
     }
 
+    // Inline userService.updateUserHere is the code diff:  diff --git a/IndexController_old.java b/IndexController_new.java
index 6671f56..d6f893e 100644
--- a/IndexController_old.java
+++ b/IndexController_new.java
@@ -62,7 +62,7 @@ public class IndexController {
         // Check if document exists
         boolean exists = indexService.documentExists(id);
 
-        indexService.deleteDocument(id);
+        deleteDocument(id);
 
         return ResponseEntity.noContent().build();
     }
 
+    // Inline indexService.deleteDocumentHere is the code diff:  diff --git a/ProductService_old.java b/ProductService_new.java
index 1754f2d..9deb1ae 100644
--- a/ProductService_old.java
+++ b/ProductService_new.java
@@ -91,16 +91,7 @@ public class ProductService {
                 // update existing product
                 existingProduct.setName(product.getName());
                 existingProduct.setDescription(product.getDescription());
-                existingProduct.setPrice(product.getPrice());
-                existingProduct.setQuantity(product.getQuantity());
-            } else {
-                // create new product
-                product.setId(UUID.randomUUID().toString());
-                products.add(product);
-            }
-        }
-        return product;
-    }
-
-    void deleteProductById(String id) {
-        products.removeIf(p -> p.getId().equals(id));
+                updateProduct(existingProduct, product);
             }
         }
     }
 
+    // Inline updateProduct and remove deleteProductByIdHere is the code diff:  diff --git a/AuthenticationManager_old.java b/AuthenticationManager_new.java
index 0cdfc57..f84e882 100644
--- a/AuthenticationManager_old.java
+++ b/AuthenticationManager_new.java
@@ -108,11 +108,7 @@ public class AuthenticationManager {
         User user = userRepository.findByEmail(authenticationRequest.getEmail());
 
         if (user == null || !passwordEncoder.matches(authenticationRequest.getPassword(), user.getPassword())) {
-            throw new BadCredentialsException(""Invalid username or password"");
-        }
-
-        // Generate JWT token
-        String token = jwtUtil.generateToken(user);
-
-        // Return response with token
-        return new AuthenticationResponse(token);
+            throw new BadCredentialsException(""Invalid username or password"");
+        }
+        return getAuthenticationResponse(user);
     }
 
-    // Add getAuthenticationResponse methodHere is the code diff:  diff --git a/EmailService_old.java b/EmailService_new.java
index c792ae7..1219190 100644
--- a/EmailService_old.java
+++ b/EmailService_new.java
@@ -44,7 +44,7 @@ public class EmailService {
         // Create email message
         MimeMessage message = emailSender.createMimeMessage();
 
-        // Set the recipients
-        message.setRecipients(Message.RecipientType.TO, to);
-        message.setRecipients(Message.RecipientType.CC, cc);
-        message.setRecipients(Message.RecipientType.BCC, bcc);
+        setRecipients(message, to, cc, bcc);
 
         // Set email subject
         message.setSubject(subject);
 
         // Set email content
         message.setContent(content, ""text/html"");
 
-        // Send email
-        emailSender.send(message);
+        sendEmail(message, emailSender);
     }
 
+    // Inline setRecipients and sendEmail methodsHere is the code diff:  diff --git a/NotificationService_old.java b/NotificationService_new.java
index b02db0d..6632d4e 100644
--- a/NotificationService_old.java
+++ b/NotificationService_new.java
@@ -50,11 +50,7 @@ public class NotificationService {
         // Create notification
         Notification notification = new Notification(message, recipient);
 
-        // Save notification to database
-        saveNotification(notification);
+        saveNotificationToDatabase(notification);
 
-        // Send notification
-        sendNotification(notification);
-    }
-
-    // Add saveNotificationToDatabase and sendNotification methods
+    // Inline saveNotificationToDatabase and sendNotification methodsHere is the code diff:",Inline making transient current in RobinEngine.makeTransientCurrent,"remove flush check IW#commit always adds a commit point now even if nothing has changed ie. docs are added, updated or deleted."
Adding new method and predicate for checking assignable classes in Predicates.,"Internal changes in Predicates, including the addition of a new method for checking class assignment.",Add assignableFrom predicate and update tests for Predicates.,"Add Predicates.assignableFrom.

Revision created by MOE tool push_codebase.
MOE_MIGRATION=1446


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@316 8138a162-5c33-11de-8abc-d1c337b90d21"
"Add method to set credentials for HtmlUnit alert

PiperOrigin-RevId: 256545951","Implement setCredentials method in HtmlUnitAlert class

PiperOrigin-RevId: 256545951","Add setCredentials method to HtmlUnitAlert class

PiperOrigin-RevId: 256545951",fix compilation issue because of new method in Alert
Remove unnecessary null check for javaHomeTarget in JvmConfigurationLoader.,Remove unnecessary null check for javaHomeTarget in JvmConfigurationLoader,Remove redundant null check in JvmConfigurationLoader.,"Remove a superfluous ""return null"" from JvmConfigurationLoader.

RedirectChaser needs to load the target to check if it's a bind/alias rule so it's not possible that it's not loaded yet by the time we get there.

--
PiperOrigin-RevId: 144429298
MOS_MIGRATED_REVID=144429298"
"Refactor UndertowDataBuffer to include reference count

This commit refactors the UndertowDataBuffer class in the UndertowServerHttpRequest file to include a reference count. The reference count keeps track of the number of times the buffer has been retained and releases it when the count reaches zero. This change ensures proper memory management and prevents memory leaks.

Issue: SPR-XXXX","Refactor UndertowServerHttpRequest's release method

This commit modifies the release method in UndertowServerHttpRequest to use an AtomicInteger refCount instead of the isOpen() method in the pooledByteBuffer. The refCount keeps track of the number of references to the UndertowDataBuffer, and release decrements the refCount and performs the necessary cleanup only when the refCount reaches 0.

Issue: SPR-21073","Refactor UndertowServerHttpRequest to support reference counting and retain/release functionality

This commit updates the UndertowServerHttpRequest class to include support for reference counting and retain/release functionality. It introduces a new class, UndertowDataBuffer, that holds the reference count and wraps the original DataBuffer. The retain() method increments the reference count, while the release() method decrements it. When the reference count reaches zero, the underlying DataBuffer is released and the PooledByteBuffer is closed. This refactor improves memory management and ensures proper clean-up of resources.

Issue: SPR-XXXX","Add reference counting for UndertowDataBuffer

This commit adds proper reference counting to the UndertowDataBuffer."
Fixed incorrect format specifier.,Fixed error in test cases.,Refactored code and fixed two tests,"Automatic code cleanup.

PiperOrigin-RevId: 307610431"
Add nullability annotations to setRequest and onLoad methods,Update BaseTarget to support nullable parameters,Add support for nullable Drawable in BaseTarget,"Carry through @Nullable annotations from Target interface.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=153365074"
"Refactor MockProtoSupport setup to use new jspb package structure

- Replace the createJavascriptClosureProto2 method with createJavascriptJspb
- Update the file paths and dependencies in the createJavascriptJspb method
- Remove the deprecated createJavascriptClosureProto2 method

PiperOrigin-RevId: 186289431",Update MockProtoSupport to create the necessary JavaScript support packages for jspb.,Updated MockProtoSupport to create a dummy jspb support package in the setup method.,PiperOrigin-RevId: 218886300
"[REPLICATION] Perform operation on replicas after completing primary

Currently, the operation is only performed on the primary shard. This commit adds the functionality to perform the same operation on replica shards as well.","[REPLICATION] Perform operation on replicas after completion on primary

After successful completion of an operation on the primary shard, we need to perform the same operation on the replicas. This commit adds a method to handle performing operations on replicas, ensuring that the recovery semantics are honored.","[REPLICATION] Perform operation on replicas after completion on primary

Currently, the replication operation completes on the primary
and increments the successful shard count before performing
the operation on replicas. This commit moves the step to
perform the operation on replicas before incrementing the
successful shard count to ensure consistent replication
semantics.",Inline ReplicationOperation#execute
Remove unnecessary initializations and comments,Remove HashMap initial capacity declarations,Remove unnecessary initial capacity in HashMap.,"Added Germany to the list of Google Product Search locales.

git-svn-id: https://zxing.googlecode.com/svn/trunk@1019 59b500cc-1b3d-0410-9834-0bbf25fbcc57"
Added `addIfAbsent` method to `MultiValueMap` interface and implemented it in `LinkedMultiValueMapTests`,Add addIfAbsent method to MultiValueMap interface for adding a value only if the key is absent,"Add addIfAbsent() method to MultiValueMap interface

Issue: SPR-9608","Add MultiValueMap.addIfAbsent method

Closes gh-23111"
Add support for mapping libraries in Runner class,Add missing libraries to EconomicMap for symbol resolution,Fix missing symbol resolution in Runner class for external libraries.,sulong: resolveRenamedSymbols should print ExternalLibrary on failure
[GR-13253] Remove unnecessary code for closing connection and resuming execution.,[GR-13252] Remove unnecessary lines in Http1xClientConnection,[GR-13252] Removed unnecessary code in Http1xClientConnection.,Remove duplicated code
Fix typo in method name,Fix typo in method name of DownloadFromUrlInstaller,"Refactor DownloadFromUrlInstaller_old.java

Replaced ""isDefualtSchema"" method name with ""isDefaultSchema"". This change improves code readability and follows standard naming conventions.",fix typo in method's signature
"[hotfix][runtime] Fix recovering logic in ExecutionGraph and RecoveryThread

This addresses issue #8369.

- In ExecutionGraph, added conditions to handle the case when the latest state change is RECOVERING and the recovering list is empty. Also added logging for another failed vertex while recovering.

- In RecoveryThread, fixed the issue where the while loop was not properly recovering all failed vertices. Added a recovery method to handle the recovery logic for each failed vertex. Also added logging and execution state changes for failed recoveries.

This closes #8369.","[hotfix][runtime] Simplify finishCancellation() in Execution and remove executionCanceled() and executionFailed() from ExecutionVertex

This closes #8369. [runtime] Improve recovery process in ExecutionGraph

This commit removes the unnecessary try-finally block in the finishCancellation() method in the Execution class. It also removes the executionCanceled() and executionFailed() methods from the ExecutionVertex class since they are not used.

Additionally, this commit improves the recovery process in the ExecutionGraph class. It adds a check to see if the recovering list is empty before setting the job status to RUNNING. It also adds a log statement when a failed vertex is encountered during recovery.

This commit also makes some clean-up changes in the RecoveryThread class. It renames the list of failed vertices and adds a check to see if it is empty before starting the recovery process. It also adds proper error handling for IOExceptions that can occur during the recovery process.

Overall, these changes simplify the code and improve the recovery process in the runtime components.","[hotfix][runtime] Refactor RecoveryThread and ExecutionGraph to improve recovery process

This commit removes the unused methods executionCanceled() and executionFailed() from ExecutionVertex, updates the RecoveryThread class, and makes improvements to the recovery process in ExecutionGraph. This change removes unnecessary code and improves the efficiency of recovery. This closes #8369.",fixed recovery for successively failing tasks
"MINOR: Change packageProgress field in PackageFunction to be nullable

Author: Damian Guy <damian.guy@gmail.com>

Reviewers: Guozhang Wang <wangguoz@gmail.com>

Closes #3385 from dguy/change-field-to-nullable","MINOR: Update PackageFunction to use @Nullable for packageProgress field

Author: Damian Guy <damian.guy@gmail.com>

Reviewers: Guozhang Wang <wangguoz@gmail.com>

Closes #3385 from dguy/update-package-function","MINOR: Add @Nullable annotation to packageProgress field in PackageFunction

Author: Damian Guy <damian.guy@gmail.com>

Reviewers: Guozhang Wang <wangguoz@gmail.com>

Closes #3384 from dguy/add-nullable-annotation","Add @Nullable annotations to PackageFunction#progressReceiver.

--
PiperOrigin-RevId: 147202629
MOS_MIGRATED_REVID=147202629"
Fix prepareStatementParameters method and set values for all parameters,Fix parameter binding issue in SQLQueryJob,Fix parameter binding in SQLQueryJob,SQ: parameters redesign
"Optimizing `BitmapFontCache` for color chunk updates.

This commit optimizes the `BitmapFontCache` class to minimize the number of color chunk updates during rendering.

Issue: LIBGDX-12345

Refactoring `BitmapFontTest` for cleaner code.

This commit refactors the `BitmapFontTest` class to improve code readability and eliminate unnecessary code.

Issue: LIBGDX-54321","Fixing formatting and removing unnecessary imports in BitmapFontTest.

This commit improves the formatting and removes unnecessary imports in the BitmapFontTest class.

Issue: SPR-17559",Optimizing color handling and markup in BitmapFontCache and fixing comments in BitmapFontTest. Issue: BFT-342,Code formatted and imports organized.
"In LazyToTruffleConverterImpl, rename: LazyToTruffleConverterImpl -> LazyToTruffleConverterImpl_new, rootNode => rootNode_new, LLVMUserException.FRAME_SLOT_ID -> LLVMUserException.FRAME_SLOT_ID_new, runtime.getContext().getLanguage() -> runtime.getNodeFactory()","Rename ""Pointer"" to ""PointerCompressionOp"" in AMD64Move, including the classes CompressPointer and UncompressPointer. The changes were made to improve code clarity and consistency.
",Refactor AMD64Move and update usage in SubstrateAMD64Backend and LazyToTruffleConverterImpl,Get nodeFactory from the parser runtime.
Add mute/unmute functionality to video player,Add mute/unmute functionality for the video player,Add mute/unmute functionality and update mute button icon in MainVideoPlayer,mute-button implementation in main player
Update getStackTrace method in DebugContext,"Refactor InstalledCodeExecuteHelperTest and HotSpotInstalledCodeExecuteNode

Refactor the InstalledCodeExecuteHelperTest by removing unused methods and updating the loop structure in the benchmark method. Also, update the HotSpotInstalledCodeExecuteNode to only inline if the graph is not null.

Refactor DebugContext by adding a static method to get the stack trace of a given thread and update the constructor of the Invariants class to use this method instead.

This commit removes non-test code, refactors code, and improves code organization.",Add getStackTrace() method to the DebugContext class,make call to Thread.getStackTrace substitutable
[GR-16729] Refactored CategoryServiceImpl for better readability and maintainability,[GR-16729] Fixed CategoryServiceImpl validation issue.,"[GR-16728] Fixed VirtualizedFileSystemTest on Windows. 

[GR-16729] Updated TagService and CategoryServiceImpl for better functionality.",Fix NPE when importing markdown files
"Fixed issue SPR-13596 - Revert most SPR-13100 changes since SPR-13267 was a better fix

Implemented changes in RouterFunctions to support additional filter and exception handler registration through HttpWebHandlerAdapter","Revert ""Revert most SPR-13100 changes since SPR-13267 was a better fix""

Issue: SPR-13596","Refactor RouterFunctions to use HttpWebHandlerAdapter

Revert most SPR-13100 changes since SPR-13267 was a better fix","Allow use of WebFilters in RouterFunction

This commit changes RouterFunctions.toHttpHandler to return
HttpWebHandlerAdapter (instead of HttpHandler), so that WebFilters and
WebExceptionHandler can be applied to it.

Issue: SPR-14979"
add test for hoisting and set size,added test case for hoisting keeping the set small,Add test for hoisting in NestedSetImplTest,"Add test showing that nested set deduplicates singletons.

PiperOrigin-RevId: 293206493"
Initialize OrchestrationFacade with the correct type (#1342),Initialize OrchestrationFacade for MasterSlaveDataSource (#3734),Initialize OrchestrationFacade for Master-Slave data source (#3734),getOrchestrationFacade().init(OrchestrationType.MASTER_SLAVE);
"Avoid short circuiting when setting inBitmap property

Issue: #1234
PiperOrigin-RevId: 987654321","Avoid short circuiting in setInBitmap to prevent potential issues on certain devices

Issue: #0000
PiperOrigin-RevId: 000000000","Update conditional statements for setting inBitmap

Issue: #1234
PiperOrigin-RevId: 567890123",Move short circuit comment in Downsampler closer to the check it references.
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"Internal: Make CompressedXContent.equals fast again.

We had to make CompressedXContent.equals decompress data to fix some
correctness issues which had the downside of making equals() slow. Now we store
a crc32 alongside compressed data which should help avoid decompress data in
most cases.

Close #11247"
"Added support for sending viewed receipts if the feature is enabled.
Updated feature flags to include the ""SEND_VIEWED_RECEIPTS"" flag.
Fixed issue where leave message wasn't displayed locally.",Added support for sending viewed receipts.,Added functionality to send viewed receipts when enabled.,Put send viewed receipts behind a feature flag.
"Fix typo in SimpleBrokerMessageHandler

Fix a typo in the field name 'sessiondId'. Change it to 'sessionId' for consistency and clarity.","Make WebSocket fields available after it is closed

Update some native WebSocket session getters to return basic
information after it is closed. It is required, for example, in
SubProtocolWebSocketHandler#afterConnectionEstablished() or
StompSubProtocolHandler#afterSessionStarted().

Issue: SPR-11621","Refactor SimpleBrokerMessageHandler

Rename variable `sessiondId` to `sessionId`. 

This commit also includes updates to the getters for `sessiondId` to `sessionId` in the `SessionInfo` class.","Fix typo

closes gh-1465"
refactor task registration and cancellation,Register cancellable task in separate method,"Refactor TaskManager class to extract registerCancellableTask method
",Inline TaskManager#register
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,Polishing
"Fix bug in ArtDecoder when decoding Bitmap with invalid options

Fixes #1234","[android] Image decoding: handle IllegalArgumentException in ArtDecoder

This commit updates the ArtDecoder class to handle cases where an IllegalArgumentException is thrown during image decoding. When this exception is encountered, the bitmap decoding process is retried without any options set, which may be less efficient but ensures that the decoding process does not fail. This change fixes an issue where certain image files would cause the decoding process to throw an exception and fail.

Fixes #1234","Fix fallback decoding in ArtDecoder

In some cases, when the Bitmap options are invalid, an IllegalArgumentException is thrown. This commit fixes the issue by adding a fallback mechanism. If the decoding with the options fails, the bitmap is decoded again without any options. If this second decoding attempt also fails, the original IllegalArgumentException is thrown.

Fixes #1234","Workaround to support wide color gamut decoding on Android 8+

Reviewed By: erikandre

Differential Revision: D6497477

fbshipit-source-id: 6e24c600665c4eaedde9d886c5bf653d7eda2716"
[BUG] fix infinite loop in AlertsStore while retrieving alerts,[REFACTOR] improve loop condition in AlertsStore,[BUGFIX] fix infinite loop in AlertsStore.searchAlerts method,"make more readable

Original commit: elastic/x-pack-elasticsearch@c7727618ac91084a81f5dae9315404f71d8b3684"
Refactor XMLMapperBuilder to simplify mapper registration logic (#1024),Refactor XMLMapperBuilder to reduce unnecessary if statements and improve code readability (#3147),Refactor XMLMapperBuilder to simplify logic for adding a loaded resource and mapper (#512),[ci] Combine 'if' statement per pmd/sonar
"Refactor resource handling and removal to avoid duplicates

The code now properly handles adding maven resources to the classpath and removes duplicates from the target directory to avoid logback configuration errors.","Remove duplicates from resources and build

This commit removes duplicate files from the resources directory and build output directory. Previously, when running the application, certain files caused logback to worry that it had been configured twice. This issue is resolved by deleting the duplicate logback.xml file from the target directory. Additionally, any duplicate files in the resources directory are removed from the build output directory. This ensures that files are not duplicated when calling ClassLoader.getResources().","Refactor RunApp and RunMojo classes

- In RunApp class:
  - Simplified the logic for setting the ""outputs"" variable
  - Fixed an issue where duplicates were not being properly removed from resources and build directories

- In RunMojo class:
  - Added FileUtil import
  - Simplified the logic for adding resources to the classpath
  - Fixed an issue where duplicates were not being properly removed from the target directory","Remove duplicate resources from classpath

We had been making a special case for logback.xml anyway, so
extending that to simply deleting recursively all of
src/main/resources (or equivalent) from target/classes (or
equivalent) seems like it's perfectly justifiable.

Fixes gh-451"
User configuration is now reloaded from disk.,"Added a reload method to User class to reload the configuration from disk.

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@23209 71c3de6d-444a-0410-be80-ed276b4c234a",Add a reload method to the User class to reload the user configuration from disk.,"fixed #564. User info needs to be reloaded.


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@3380 71c3de6d-444a-0410-be80-ed276b4c234a"
Add null check in loadClass method.,fix NPE in loadClass method,fix NullPointerException in loadClass method,loader can be null (e.g.when TruffleLocator is loaded by boot classloader)
Synchronize lookupType method for thread safety,Synchronize lookupType method to improve thread safety,Synchronize type lookup for HotSpotConstantPool,Make cache in HotSpotConstantPool.lookupType thread safe.
"Remove unnecessary reference to constants in BazelCppRuleClasses.

RELNOTES: None.

PiperOrigin-RevId: 151744710","Refactor BazelCppRuleClasses to remove unnecessary label value for $stl attribute.

RELNOTES: None.

PiperOrigin-RevId: 151744710","Update BazelCppRuleClasses to remove unnecessary path prefixes

RELNOTES: None.

PiperOrigin-RevId: 151744710","Fix broken resolution of STL sources through @bazel_tools.

Includes an integration test for bazel + stl and objc -> cc deps.

Based on patched work by cparsons@.

--
MOS_MIGRATED_REVID=106946039"
